"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V10) (541BZ) Youngstown,"5,185","5,095",98.26%,90,1.74%,0,0,"4,881",0,214,0,75,0,13,0,2,0,0,0,3.13,4.22,1.51
(V10) (541GB) Lorain,"3,510","3,492",99.49%,18,0.51%,0,0,"3,424",0,68,0,15,0,1,0,2,0,0,0,1.15,1.23,1.63
(V10) (541GC) Sandusky,"2,947","2,838",96.30%,109,3.70%,0,0,"2,798",0,40,0,37,0,69,0,2,0,1,0,4.92,0.94,0.45
(V10) (541GD) David F Winder VA CBOC,"6,887","6,861",99.62%,26,0.38%,0,0,"6,812",0,49,0,17,0,4,0,2,0,3,0,0.48,0.55,0.82
(V10) (541GE) McCafferty,894,861,96.31%,33,3.69%,0,0,834,0,27,0,30,0,3,0,0,0,0,0,1.58,4.09,4.86
(V10) (541GF) Painesville,"3,931","3,918",99.67%,13,0.33%,0,0,"3,895",0,23,0,8,0,4,0,1,0,0,0,0.31,1.08,0.92
(V10) (541GG) Akron,"7,149","6,655",93.09%,494,6.91%,0,0,"6,196",0,459,0,398,0,75,0,14,0,7,0,5.78,8.13,3.06
(V10) (541GH) East Liverpool,"1,989","1,981",99.60%,8,0.40%,0,0,"1,952",0,29,0,4,0,2,0,2,0,0,0,0.96,1.53,0.76
(V10) (541GI) Warren,"2,269","2,245",98.94%,24,1.06%,0,0,"2,160",0,85,0,16,0,5,0,2,0,1,0,4.08,2.71,2.4
(V10) (541GJ) New Philadelphia,"2,029","2,000",98.57%,29,1.43%,0,0,"1,971",0,29,0,27,0,2,0,0,0,0,0,1.3,1.82,1.08
(V10) (541GK) Ravenna,"2,513","2,489",99.04%,24,0.96%,0,1,"2,472",1,17,0,11,0,8,0,5,0,0,0,1.19,0.85,0.66
(V10) (541GL) Parma,"9,513","9,042",95.05%,471,4.95%,0,1,"8,453",1,589,0,408,0,58,0,5,0,0,0,3.97,5.73,3.67
"(V10) (541GM) Cleveland VA Clinic-
Superior",66,62,93.94%,4,6.06%,0,0,40,0,22,0,4,0,0,0,0,0,0,0,,,
(V10) (541PA) Cleveland PRRTP OH,7,7,100.00%,0,0.00%,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,
"(V10) (541QF) Cuyahoga County 4 VA
Mobile Clinic",590,197,33.39%,393,66.61%,0,1,174,0,23,0,35,1,74,0,145,0,139,0,,74.47,
"(V10) (552) Dayton, OH","27,167","25,695",94.58%,"1,472",5.42%,32,74,"23,578",29,"2,117",22,"1,264",22,142,0,45,0,21,1,2,8.7,3.13
(V10) (552) Dayton VAMC,"20,997","19,773",94.17%,"1,224",5.83%,0,0,"18,017",0,"1,756",0,"1,047",0,126,0,36,0,15,0,0.84,8.93,2.14
(V10) (552GA) Middletown,"1,532","1,501",97.98%,31,2.02%,0,3,"1,417",2,84,0,28,1,2,0,1,0,0,0,2.97,5.54,3.52
(V10) (552GB) Lima,"1,717","1,659",96.62%,58,3.38%,0,52,"1,566",12,93,21,38,19,10,0,6,0,4,0,0.88,9.43,3.25
(V10) (552GC) Richmond,"1,744","1,616",92.66%,128,7.34%,0,2,"1,462",1,154,0,126,0,1,0,1,0,0,1,6.69,9.92,5.81
(V10) (552GD) Springfield,"1,177","1,146",97.37%,31,2.63%,0,17,"1,116",14,30,1,25,2,3,0,1,0,2,0,1.16,3.1,10.61
"(V10) (757) Columbus, OH","50,183","44,538",88.75%,"5,645",11.25%,20,52,"40,137",21,"4,401",13,"3,829",16,"1,251",1,379,0,186,1,7.63,11.28,5.6
"(V10) (757) Chalmers P Wylie Veterans
OC","40,211","35,216",87.58%,"4,995",12.42%,0,46,"31,520",19,"3,696",10,"3,361",15,"1,139",1,344,0,151,1,7.43,11.54,4.47
(V10) (757GA) Zanesville,"1,770","1,485",83.90%,285,16.10%,0,6,"1,287",2,198,3,196,1,77,0,8,0,4,0,16.52,3.12,8.05
(V10) (757GB) Grove City,"1,554","1,522",97.94%,32,2.06%,0,0,"1,446",0,76,0,31,0,0,0,1,0,0,0,0.94,7.7,7.03
(V10) (757GC) Marion,"2,621","2,597",99.08%,24,0.92%,0,0,"2,478",0,119,0,21,0,1,0,0,0,2,0,3.8,2.9,4.52
(V10) (757GD) Newark,"1,656","1,497",90.40%,159,9.60%,0,0,"1,292",0,205,0,79,0,28,0,23,0,29,0,10.83,15.61,17.76
"(V10) (757QA) Columbus 1 VA Mobile
Clinic",1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
(V10) (757QC) Columbus VA Clinic,"2,370","2,220",93.67%,150,6.33%,0,0,"2,113",0,107,0,141,0,6,0,3,0,0,0,,,5.17
"(V11) (506) Ann Arbor, MI","62,159","57,046",91.77%,"5,113",8.23%,16,"1,042","53,049",155,"3,997",126,"2,682",258,"1,480",240,436,157,515,106,5.67,11.1,3.92
(V11) (506) Ann Arbor VAMC,"44,629","40,788",91.39%,"3,841",8.61%,0,"1,040","38,099",153,"2,689",126,"2,036",258,974,240,351,157,480,106,4.39,10.88,4.5
(V11) (506GA) Toledo,"14,042","12,861",91.59%,"1,181",8.41%,0,2,"11,879",2,982,0,584,0,491,0,80,0,26,0,7.75,12.27,2.31
(V11) (506GB) Flint,"2,304","2,229",96.74%,75,3.26%,0,0,"1,961",0,268,0,51,0,12,0,3,0,9,0,7.25,7.48,4.57
(V11) (506GC) Jackson,"1,184","1,168",98.65%,16,1.35%,0,0,"1,110",0,58,0,11,0,3,0,2,0,0,0,3.78,1.81,5.53
"(V11) (515) Battle Creek, MI","27,350","26,194",95.77%,"1,156",4.23%,6,1,"23,936",1,"2,258",0,953,0,146,0,48,0,9,0,2.95,6.61,4.92
(V11) (515) Battle Creek VAMC,"11,147","10,782",96.73%,365,3.27%,0,1,"9,808",1,974,0,342,0,16,0,2,0,5,0,4.09,5.52,2.87
(V11) (515BU) Battle Creek Domiciliary,44,44,100.00%,0,0.00%,0,0,44,0,0,0,0,0,0,0,0,0,0,0,,,
(V11) (515BY) Wyoming,"11,813","11,103",93.99%,710,6.01%,0,0,"10,070",0,"1,033",0,533,0,127,0,46,0,4,0,2.44,8.23,8.03
(V11) (515GA) Muskegon,"1,550","1,528",98.58%,22,1.42%,0,0,"1,484",0,44,0,20,0,2,0,0,0,0,0,1.14,1.39,3.83
(V11) (515GB) Lansing South,"2,127","2,069",97.27%,58,2.73%,0,0,"1,887",0,182,0,57,0,1,0,0,0,0,0,4.53,1.06,4.34
"(V11) (550) Danville, IL","29,601","28,097",94.92%,"1,504",5.08%,12,0,"26,797",0,"1,300",0,862,0,342,0,265,0,35,0,2.46,7.71,5.03
(V11) (550) Danville VAMC,"14,232","13,900",97.67%,332,2.33%,0,0,"13,287",0,613,0,273,0,33,0,10,0,16,0,1.71,4.15,0.61
(V11) (550BY) Bob Michel VA OPC,"8,322","7,280",87.48%,"1,042",12.52%,0,0,"6,786",0,494,0,525,0,254,0,251,0,12,0,3.76,17.88,13.56
(V11) (550GA) Decatur,"2,671","2,559",95.81%,112,4.19%,0,0,"2,469",0,90,0,56,0,51,0,3,0,2,0,2.66,6.36,1.87
(V11) (550GC) Lafayette,"1,012","1,008",99.60%,4,0.40%,0,0,994,0,14,0,1,0,3,0,0,0,0,0,1,0.32,1.97
(V11) (550GD) Springfield,"2,687","2,679",99.70%,8,0.30%,0,0,"2,627",0,52,0,3,0,1,0,1,0,3,0,1.42,1.5,1.57
(V11) (550GF) Charleston,677,671,99.11%,6,0.89%,0,0,634,0,37,0,4,0,0,0,0,0,2,0,3.95,6.62,1.93
"(V11) (553) Detroit, MI","64,601","59,963",92.82%,"4,638",7.18%,1,84,"56,267",34,"3,696",10,"2,469",18,823,13,362,7,984,2,5.84,11.47,2.55
(V11) (553) John D Dingell VAMC,"59,515","54,917",92.27%,"4,598",7.73%,0,84,"51,523",34,"3,394",10,"2,435",18,822,13,362,7,979,2,6.53,11.5,2.61
(V11) (553GA) Yale,"2,471","2,462",99.64%,9,0.36%,0,0,"2,302",0,160,0,8,0,0,0,0,0,1,0,4.16,,1.25
(V11) (553GB) Pontiac,"2,615","2,584",98.81%,31,1.19%,0,0,"2,442",0,142,0,26,0,1,0,0,0,4,0,3.29,7.56,2
"(V11) (583) Indianapolis, IN","58,043","53,338",91.89%,"4,705",8.11%,31,5,"49,342",4,"3,996",1,"3,381",0,"1,016",0,180,0,128,0,4.22,7.37,7.63
(V11) (583) Richard L Roudebush VAMC,"53,648","49,122",91.56%,"4,526",8.44%,0,3,"45,229",2,"3,893",1,"3,284",0,941,0,176,0,125,0,4.82,7.43,8
(V11) (583GA) Terre Haute,"1,733","1,715",98.96%,18,1.04%,0,0,"1,687",0,28,0,14,0,2,0,1,0,1,0,0.79,2.76,3.67
(V11) (583GB) Bloomington,"1,634","1,574",96.33%,60,3.67%,0,2,"1,542",2,32,0,22,0,36,0,2,0,0,0,0.39,1.86,3.48
(V11) (583GC) Martinsville,435,394,90.57%,41,9.43%,0,0,384,0,10,0,41,0,0,0,0,0,0,0,0.47,1.06,17.25
(V11) (583GF) Wakeman,593,533,89.88%,60,10.12%,0,0,500,0,33,0,20,0,37,0,1,0,2,0,6.87,6.76,16.32
"(V11) (610) Northern Indiana HCS, IN","36,051","31,906",88.50%,"4,145",11.50%,33,0,"29,052",0,"2,854",0,"2,180",0,"1,337",0,407,0,221,0,9.64,16.23,2.65
(V11) (610) Marion VAMC,"8,850","8,069",91.18%,781,8.82%,0,0,"7,209",0,860,0,585,0,82,0,21,0,93,0,10.87,12.76,2.77
(V11) (610A4) Fort Wayne VAMC,"16,535","13,760",83.22%,"2,775",16.78%,0,0,"12,255",0,"1,505",0,"1,193",0,"1,087",0,372,0,123,0,9.3,17.47,8.49
(V11) (610BU) Marion VADOM,8,8,100.00%,0,0.00%,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,
(V11) (610GA) South Bend,"2,905","2,875",98.97%,30,1.03%,0,0,"2,789",0,86,0,22,0,6,0,1,0,1,0,3.21,3.14,1.28
(V11) (610GB) Muncie,"1,845","1,777",96.31%,68,3.69%,0,0,"1,598",0,179,0,59,0,6,0,1,0,2,0,7.04,2.75,4.05
(V11) (610GC) Goshen,"1,699","1,668",98.18%,31,1.82%,0,0,"1,634",0,34,0,21,0,8,0,2,0,0,0,1.87,8.45,3.25
(V11) (610GD) Peru,"1,616","1,194",73.89%,422,26.11%,0,0,"1,042",0,152,0,277,0,134,0,9,0,2,0,22.23,1.36,7.87
(V11) (610QA) Fort Wayne VA Clinic,"2,593","2,555",98.53%,38,1.47%,0,0,"2,517",0,38,0,23,0,14,0,1,0,0,0,,,1.66
"(V11) (655) Saginaw, MI","26,985","25,086",92.96%,"1,899",7.04%,11,6,"23,370",6,"1,716",0,"1,086",0,356,0,190,0,267,0,3.08,12.98,2.01
(V11) (655) Aleda E Lutz VAMC,"18,515","16,809",90.79%,"1,706",9.21%,0,6,"15,595",6,"1,214",0,923,0,342,0,181,0,260,0,3.2,13.88,1.76
(V11) (655GA) Gaylord,988,949,96.05%,39,3.95%,0,0,914,0,35,0,30,0,4,0,4,0,1,0,1.55,12.83,0.61
(V11) (655GB) Traverse City,758,739,97.49%,19,2.51%,0,0,644,0,95,0,19,0,0,0,0,0,0,0,3.73,1.7,0.63
(V11) (655GC) Oscoda,713,682,95.65%,31,4.35%,0,0,599,0,83,0,30,0,1,0,0,0,0,0,3.89,9.45,2
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",733,702,95.77%,31,4.23%,0,0,650,0,52,0,22,0,2,0,1,0,6,0,3.65,8.53,4.85
(V11) (655GE) Clare,"1,186","1,180",99.49%,6,0.51%,0,0,"1,112",0,68,0,6,0,0,0,0,0,0,0,3.6,1.96,2.35
(V11) (655GF) Bad Axe,506,495,97.83%,11,2.17%,0,0,488,0,7,0,7,0,4,0,0,0,0,0,1.81,1.97,0.92
(V11) (655GG) Cadillac,995,972,97.69%,23,2.31%,0,0,909,0,63,0,21,0,1,0,1,0,0,0,2.6,5.75,2.91
(V11) (655GH) Cheboygan,617,617,100.00%,0,0.00%,0,0,609,0,8,0,0,0,0,0,0,0,0,0,0.89,1.38,0.56
(V11) (655GI) Grayling,561,539,96.08%,22,3.92%,0,0,497,0,42,0,19,0,2,0,1,0,0,0,2.75,6.22,4.68
(V11) (655QB) Grand Traverse,"1,413","1,402",99.22%,11,0.78%,0,0,"1,353",0,49,0,9,0,0,0,2,0,0,0,,2.83,2.03
"(V12) (537) Jesse Brown VAMC (Chicago), IL","45,263","42,067",92.94%,"3,196",7.06%,60,495,"38,696",56,"3,371",51,"1,771",186,950,153,302,18,173,31,5.14,10.32,5.14
(V12) (537) Jesse Brown VAMC,"34,765","32,493",93.46%,"2,272",6.54%,0,485,"29,964",51,"2,529",50,"1,174",186,677,152,265,18,156,28,5.62,9.02,4.51
"(V12) (537BY) Adam Benjamin Jr VA
OPC","7,932","7,037",88.72%,895,11.28%,0,4,"6,362",3,675,0,581,0,264,0,36,0,14,1,3.82,21.8,6.33
(V12) (537GA) Chicago Heights,662,656,99.09%,6,0.91%,0,1,626,0,30,0,4,0,2,0,0,0,0,1,3.1,0,3.9
(V12) (537GD) Lakeside,"1,242","1,227",98.79%,15,1.21%,0,2,"1,122",1,105,0,8,0,5,0,0,0,2,1,4.93,,3.41
(V12) (556) Captain James A Lovell FHCC,"18,779","18,574",98.91%,205,1.09%,7,5,"17,747",5,827,0,129,0,48,0,17,0,11,0,2.43,3.74,2.8
"(V12) (556) Captain James A Lovell
FHCC","16,110","15,920",98.82%,190,1.18%,7,4,"15,200",4,720,0,117,0,46,0,16,0,11,0,2.34,3.72,2.69
(V12) (556GA) Evanston,301,298,99.00%,3,1.00%,0,0,293,0,5,0,3,0,0,0,0,0,0,0,0.81,6.89,0.99
(V12) (556GC) McHenry,"1,577","1,570",99.56%,7,0.44%,0,0,"1,500",0,70,0,4,0,2,0,1,0,0,0,3.13,4.47,3.87
(V12) (556GD) Kenosha,791,786,99.37%,5,0.63%,0,1,754,1,32,0,5,0,0,0,0,0,0,0,2.37,2.13,2.59
"(V12) (578) Hines, IL","61,428","55,828",90.88%,"5,600",9.12%,24,3,"51,332",3,"4,496",0,"3,364",0,"1,515",0,534,0,187,0,6.55,11.93,4.27
(V12) (578) Edward Hines Junior Hospital,"49,316","44,389",90.01%,"4,927",9.99%,0,3,"40,675",3,"3,714",0,"2,822",0,"1,422",0,504,0,179,0,7.9,12.57,3.8
(V12) (578GA) Joliet,"5,133","4,788",93.28%,345,6.72%,0,0,"4,414",0,374,0,294,0,37,0,11,0,3,0,4.03,7.8,5.48
(V12) (578GC) Kankakee County,"1,445","1,378",95.36%,67,4.64%,0,0,"1,300",0,78,0,59,0,7,0,0,0,1,0,2.7,5.68,5.12
(V12) (578GD) Aurora,"1,569","1,523",97.07%,46,2.93%,0,0,"1,419",0,104,0,37,0,2,0,5,0,2,0,6.04,5.33,3.93
(V12) (578GE) Hoffman Estates,"1,254","1,157",92.26%,97,7.74%,0,0,"1,090",0,67,0,64,0,22,0,9,0,2,0,5.92,24.98,7.45
(V12) (578GF) LaSalle,"1,174","1,129",96.17%,45,3.83%,0,0,"1,068",0,61,0,34,0,7,0,4,0,0,0,3.73,8.46,3.64
(V12) (578GG) Oak Lawn,"1,537","1,464",95.25%,73,4.75%,0,0,"1,366",0,98,0,54,0,18,0,1,0,0,0,5.2,4.17,5.94
"(V12) (585) Iron Mountain, MI","11,288","10,727",95.03%,561,4.97%,5,20,"9,833",2,894,5,406,9,130,3,20,1,5,0,4.61,7.28,4.18
(V12) (585) Oscar G Johnson VAMC,"7,691","7,255",94.33%,436,5.67%,0,20,"6,539",2,716,5,333,9,82,3,16,1,5,0,7.97,6.98,3.59
(V12) (585GA) Hancock,461,439,95.23%,22,4.77%,0,0,414,0,25,0,13,0,9,0,0,0,0,0,4.07,10.89,4.22
(V12) (585GB) Rhinelander,779,747,95.89%,32,4.11%,0,0,721,0,26,0,22,0,10,0,0,0,0,0,2.32,10.06,3.43
(V12) (585GC) Menominee,455,443,97.36%,12,2.64%,0,0,410,0,33,0,7,0,4,0,1,0,0,0,1.71,9.31,3.74
(V12) (585GD) Ironwood,296,289,97.64%,7,2.36%,0,0,279,0,10,0,3,0,4,0,0,0,0,0,0.96,10.54,4.47
(V12) (585HA) Marquette MI,"1,084","1,038",95.76%,46,4.24%,0,0,968,0,70,0,25,0,19,0,2,0,0,0,1.93,8.33,7.05
(V12) (585HB) Sault Saint Marie,522,516,98.85%,6,1.15%,0,0,502,0,14,0,3,0,2,0,1,0,0,0,1,7.83,2.05
"(V12) (607) Madison, WI","32,117","29,738",92.59%,"2,379",7.41%,3,2,"27,605",0,"2,133",0,"1,464",2,619,0,185,0,111,0,5.73,10.02,1.88
"(V12) (607) William S. Middleton
Memorial Veterans Hospital","25,369","23,116",91.12%,"2,253",8.88%,0,2,"21,228",0,"1,888",0,"1,393",2,605,0,167,0,88,0,7.93,10.21,2.34
(V12) (607GC) Janesville,876,858,97.95%,18,2.05%,0,0,824,0,34,0,16,0,1,0,0,0,1,0,4.57,9.33,0.57
(V12) (607GD) Baraboo,482,475,98.55%,7,1.45%,0,0,452,0,23,0,7,0,0,0,0,0,0,0,6.97,2.43,0.05
(V12) (607GE) Beaver Dam,794,790,99.50%,4,0.50%,0,0,761,0,29,0,3,0,1,0,0,0,0,0,2.28,0.15,0.37
(V12) (607GF) Freeport,447,440,98.43%,7,1.57%,0,0,435,0,5,0,5,0,1,0,0,0,1,0,3.83,0.35,0.37
(V12) (607HA) Rockford,"4,149","4,059",97.83%,90,2.17%,0,0,"3,905",0,154,0,40,0,11,0,18,0,21,0,3.98,8.85,1.3
"(V12) (676) Tomah, WI","15,285","14,635",95.75%,650,4.25%,6,1,"13,884",1,751,0,474,0,110,0,39,0,27,0,3.54,8.12,3.4
(V12) (676) Tomah VAMC,"8,954","8,536",95.33%,418,4.67%,0,0,"8,168",0,368,0,294,0,64,0,35,0,25,0,2.34,8.11,1.44
(V12) (676GA) Wausau,"1,603","1,521",94.88%,82,5.12%,0,0,"1,412",0,109,0,48,0,33,0,0,0,1,0,4.81,0.02,7.17
(V12) (676GC) River Valley,"2,596","2,564",98.77%,32,1.23%,0,0,"2,454",0,110,0,30,0,1,0,1,0,0,0,4.22,3.89,1.9
(V12) (676GD) Wisconsin Rapids,"1,883","1,768",93.89%,115,6.11%,0,1,"1,609",1,159,0,99,0,12,0,3,0,1,0,3.71,9.51,10.3
(V12) (676GE) Clark County,249,246,98.80%,3,1.20%,0,0,241,0,5,0,3,0,0,0,0,0,0,0,2.27,0,0.21
"(V12) (695) Milwaukee, WI","64,801","60,327",93.10%,"4,474",6.90%,1,30,"55,065",1,"5,262",0,"3,257",2,824,1,209,2,184,24,9.73,7.75,6.22
(V12) (695) Clement J Zablocki VAMC,"46,990","44,352",94.39%,"2,638",5.61%,0,30,"40,742",1,"3,610",0,"1,805",2,549,1,132,2,152,24,5.17,7.99,3.09
(V12) (695BU) VADOM Milwaukee,15,15,100.00%,0,0.00%,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,
(V12) (695BY) Appleton,"6,789","5,660",83.37%,"1,129",16.63%,0,0,"4,885",0,775,0,926,0,151,0,37,0,15,0,14.88,8.28,16.91
(V12) (695GA) Union Grove WI,"1,073","1,065",99.25%,8,0.75%,0,0,"1,038",0,27,0,7,0,0,0,0,0,1,0,2.9,,1.03
(V12) (695GC) Cleveland,"1,258","1,203",95.63%,55,4.37%,0,0,"1,104",0,99,0,36,0,13,0,4,0,2,0,9.38,27.9,4.81
"(V12) (695GD) Milo C Huempfner VA
OPC","8,676","8,032",92.58%,644,7.42%,0,0,"7,281",0,751,0,483,0,111,0,36,0,14,0,11.49,6.02,9.07
"(V15) (589) Columbia, MO","44,185","41,734",94.45%,"2,451",5.55%,72,16,"39,352",6,"2,382",1,"1,617",2,484,6,181,1,169,0,2.34,10.29,4.59
"(V15) (589G8) Jefferson City, MO","2,791","2,734",97.96%,57,2.04%,0,1,"2,693",1,41,0,35,0,10,0,10,0,2,0,0.94,6.32,0.52
(V15) (589GE) Kirksville,933,929,99.57%,4,0.43%,0,0,903,0,26,0,3,0,0,0,1,0,0,0,2.08,40,0.17
"(V15) (589GF) Fort Leonard Wood VA
Clinic","1,509","1,494",99.01%,15,0.99%,0,0,"1,471",0,23,0,7,0,5,0,0,0,3,0,1.51,6.09,2.17
(V15) (589GH) Lake of the Ozarks,"1,540","1,532",99.48%,8,0.52%,0,0,"1,523",0,9,0,5,0,1,0,2,0,0,0,1.86,1.79,1.92
(V15) (589GX) Mexico,"1,515","1,513",99.87%,2,0.13%,0,2,"1,493",0,20,0,0,0,0,1,1,1,1,0,3.02,,0.82
(V15) (589GY) St. James,"1,613","1,602",99.32%,11,0.68%,0,0,"1,587",0,15,0,7,0,0,0,1,0,3,0,1.42,,0.76
(V15) (589JA) Sedalia,"1,544","1,544",100.00%,0,0.00%,0,0,"1,540",0,4,0,0,0,0,0,0,0,0,0,0.23,0.5,0.23
(V15) (589JD) Marshfield,888,885,99.66%,3,0.34%,0,1,847,0,38,0,1,0,0,1,1,0,1,0,1.21,5.27,4.38
(V15) (589ME) IDES Fort Leonard Wood,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0
"(V15) (589) Kansas City, MO","40,061","38,933",97.18%,"1,128",2.82%,40,243,"36,095",21,"2,838",16,679,105,291,34,76,39,82,28,3.27,4.76,5.02
(V15) (589) Kansas City VAMC,"36,993","35,882",97.00%,"1,111",3.00%,0,240,"33,128",21,"2,754",14,674,105,283,34,75,39,79,27,3.71,4.8,5.37
(V15) (589G1) Warrensburg,"1,203","1,195",99.33%,8,0.67%,0,0,"1,149",0,46,0,1,0,5,0,0,0,2,0,2.63,3.98,3.44
(V15) (589GB) Belton,364,362,99.45%,2,0.55%,0,1,359,0,3,1,0,0,2,0,0,0,0,0,0.32,3.82,0.78
(V15) (589GC) Paola,317,317,100.00%,0,0.00%,0,1,316,0,1,0,0,0,0,0,0,0,0,1,0.33,0,0.31
(V15) (589GD) Nevada,534,532,99.63%,2,0.37%,0,1,518,0,14,1,1,0,1,0,0,0,0,0,3.23,0.44,0.73
(V15) (589GZ) Cameron,134,134,100.00%,0,0.00%,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0
"(V15) (589HK) Kansas City VA Mobile
Clinic",89,88,98.88%,1,1.12%,0,0,86,0,2,0,0,0,0,0,1,0,0,0,1.82,,0
(V15) (589JB) Excelsior Springs,419,415,99.05%,4,0.95%,0,0,397,0,18,0,3,0,0,0,0,0,1,0,3.67,2.9,0.58
(V15) (589MC) IDES Whiteman AFB,8,8,100.00%,0,0.00%,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,1,0
"(V15) (589) Eastern KS HCS, KS","34,901","33,058",94.72%,"1,843",5.28%,0,176,"31,496",37,"1,562",25,"1,362",41,319,17,88,6,74,50,5.44,8,2.85
(V15) (589A5) Colmery-O'Neil VAMC,"18,018","17,067",94.72%,951,5.28%,0,97,"16,259",22,808,13,690,22,164,7,36,3,61,30,7.38,6.67,2.81
"(V15) (589A6) Dwight D. Eisenhower
VAMC","12,452","11,681",93.81%,771,6.19%,0,79,"11,116",15,565,12,570,19,141,10,50,3,10,20,4.09,9.69,1.83
(V15) (589BU) Leavenworth DCHV,"1,542","1,526",98.96%,16,1.04%,0,0,"1,495",0,31,0,13,0,1,0,1,0,1,0,,,3.24
(V15) (589G9) Ft. Riley,15,15,100.00%,0,0.00%,0,0,14,0,1,0,0,0,0,0,0,0,0,0,,0.25,1.55
(V15) (589GI) St. Joseph,862,855,99.19%,7,0.81%,0,0,835,0,20,0,7,0,0,0,0,0,0,0,1.52,8.82,2.91
(V15) (589GJ) Wyandotte County,594,584,98.32%,10,1.68%,0,0,567,0,17,0,9,0,1,0,0,0,0,0,3.29,0,2.08
(V15) (589GM) Chanute,167,131,78.44%,36,21.56%,0,0,109,0,22,0,35,0,1,0,0,0,0,0,15.39,,6.15
(V15) (589GN) Emporia,80,76,95.00%,4,5.00%,0,0,67,0,9,0,2,0,2,0,0,0,0,0,4.6,,14.05
(V15) (589GP) Garnett,45,38,84.44%,7,15.56%,0,0,29,0,9,0,6,0,1,0,0,0,0,0,12.69,,10.1
(V15) (589GR) Junction City,555,531,95.68%,24,4.32%,0,0,497,0,34,0,18,0,5,0,0,0,1,0,0.51,,9.52
(V15) (589GU) Lawrence,163,162,99.39%,1,0.61%,0,0,156,0,6,0,1,0,0,0,0,0,0,0,1.82,2.33,0.16
(V15) (589GV) Ft. Scott,248,232,93.55%,16,6.45%,0,0,192,0,40,0,11,0,3,0,1,0,1,0,12.06,0,5.36
(V15) (589JE) Platte City,97,97,100.00%,0,0.00%,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0
(V15) (589MA) Ft. Riley DES Clinic,51,51,100.00%,0,0.00%,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,0.39,0
(V15) (589MD) IDES Fort Leavenworth,12,12,100.00%,0,0.00%,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,0,
"(V15) (589) Wichita, KS","19,874","18,834",94.77%,"1,040",5.23%,5,110,"17,989",23,845,11,582,13,242,14,137,6,79,43,2.74,11.01,1.18
(V15) (589A7) Robert J. Dole VAMC,"16,472","15,456",93.83%,"1,016",6.17%,0,44,"14,636",22,820,8,565,8,238,4,136,1,77,1,4.19,11.26,1.31
(V15) (589G2) Dodge City,204,202,99.02%,2,0.98%,0,8,202,0,0,0,2,2,0,3,0,0,0,3,0.79,0.11,1.42
(V15) (589G3) Liberal,81,80,98.77%,1,1.23%,0,0,77,0,3,0,1,0,0,0,0,0,0,0,4.35,0,0
(V15) (589G4) Hays,383,382,99.74%,1,0.26%,0,27,373,0,9,2,0,2,1,5,0,5,0,13,3.11,3.17,0.1
(V15) (589G5) Parsons,376,366,97.34%,10,2.66%,0,12,361,0,5,0,8,1,2,2,0,0,0,9,1.73,12.16,0.44
(V15) (589MB) IDES McConnel AFB,17,17,100.00%,0,0.00%,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V15) (657) Marion, IL","26,070","23,726",91.01%,"2,344",8.99%,9,19,"20,885",13,"2,841",6,"1,410",0,651,0,135,0,148,0,14.86,10.86,4.05
(V15) (657A5) Marion VAMC,"10,586","9,897",93.49%,689,6.51%,0,13,"8,756",11,"1,141",2,426,0,110,0,31,0,122,0,8.04,11.34,3.14
(V15) (657GJ) Evansville,"8,490","7,363",86.73%,"1,127",13.27%,0,1,"6,090",1,"1,273",0,691,0,348,0,67,0,21,0,23.5,10.62,7.07
(V15) (657GK) Mt. Vernon,872,600,68.81%,272,31.19%,0,0,570,0,30,0,119,0,122,0,27,0,4,0,45.79,1.44,0.82
(V15) (657GL) Paducah,"1,180","1,163",98.56%,17,1.44%,0,0,"1,061",0,102,0,16,0,1,0,0,0,0,0,4.18,1.77,4.41
