Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
(V18) (756) OC EL PASO TX,49 FAMILY PRACTICE,-,-,-,0.6316,-,
(V18) (756) OC EL PASO TX,51 CHIEF OF STAFF,1,-,-,-,-,
(V18) (756) OC EL PASO TX,E6 CARDIOLOGY NON-INTER,0.4615,0.5455,-,-,0.8,
(V18) (756) OC EL PASO TX,E9 COMPENSATION/PENSION,-,-,-,-,0.1633,
(V18) (756) OC EL PASO TX,P1 PRIMARY CARE,-,-,-,1,-,
V19,0602 Physician (All Specialties),0.0973,0.0844,0.099,0.1134,0.11,
V19,01 ANESTHESIOLOGY,0.0597,0.0577,0.0486,0.1708,0.1563,
V19,02 SURGERY,0.0637,0.065,0.1263,0.0891,0.0891,
V19,03 GYNECOLOGY,-,0.4615,0.3,-,0.375,
V19,05 MEDICAL ONCOLOGY,-,-,1,-,-,
V19,06 OPHTHALMOLOGY,0.0941,-,0.0417,0.0399,-,
V19,07 ORTHOPEDIC SURGERY,0.256,0.2674,0.2182,0.2019,0.2324,
V19,08 OTOLARYNGOLOGY,0.1319,0.1188,0.1034,-,-,
V19,09 PLASTIC SURGERY,-,-,-,-,0.4286,
V19,12 UROLOGY,0.0619,-,0.1171,0.2264,0.1682,
V19,13 PHYSIATRY,-,-,-,-,0.2105,
V19,16 EMERGENCY MEDICINE,0.1446,0.0622,0.0577,0.1975,0.1348,
V19,18 HEMATOLOGY,-,-,-,0.1319,-,
V19,19 INFECTIOUS DISEASES,0.1277,-,0.1548,-,0.067,
V19,20 DERMATOLOGY,0.2222,-,-,0.2069,0.1463,
V19,21 GEN INTERNAL MED,0.0648,0.082,0.1063,0.147,0.1644,
V19,25 GASTROENTEROLOGY,0.2981,-,0.0698,0.2212,0.0571,
V19,26 PULMONARY DISEASES,-,0.0632,-,-,0.1353,
V19,27 NEPHROLOGY,0.0714,0.0659,0.1311,0.0706,0.0622,
V19,28 RHEUMATOLOGY,-,-,0.12,-,-,
V19,29 ENDOCRIN AND METAB,-,-,0.093,0.1,-,
V19,30 NEUROLOGY,0.0988,-,-,0.1524,0.0382,
V19,31 PSYCHIATRY,0.1444,0.0864,0.0939,0.0999,0.1289,
V19,34 ADV GERIATRIC FELLOW,-,-,-,-,1,
V19,36 PREVENTIVE MEDICINE,0.4286,0.75,-,-,-,
V19,38 RADIOLOGY-DIAGNOSTIC,-,0.0714,0.142,0.0667,-,
V19,40 GERIATRICS,0.0889,-,-,0.189,0.1667,
V19,43 PATHOLOGY,0.08,0.0779,0.1678,0.1481,-,
V19,44 PHYS MED & REHAB,0.1548,0.3137,0.1983,-,-,
V19,47 RESEARCH-CAREER DEV,0.6667,1,-,-,-,
V19,49 FAMILY PRACTICE,0.1313,0.0958,0.1369,0.1193,0.1227,
V19,51 CHIEF OF STAFF,-,0.1967,-,-,-,
V19,58 ASST CHIEF OF STAFF,-,-,0.6667,1,-,
V19,59 ASSOC COS AMBUL CARE,-,-,-,0.2553,-,
V19,E6 CARDIOLOGY NON-INTER,0.0556,0.0938,0.0896,-,0.0642,
V19,E7 RADIOLOGY (NUCLEAR),1,-,-,-,-,
V19,H1 PSYCHIATRY FELW,-,-,-,1,-,
V19,K6 HOSPITALIST,-,0.096,0.0663,0.1206,0.0448,
V19,P1 PRIMARY CARE,-,0.2857,0.3529,0.1017,0.2105,
V19,R4 VASCULAR SURGERY,-,0.2553,-,0.1429,0.1429,
(V19) (436) HCS FT HARRISON MT,0602 Physician (All Specialties),0.0788,0.0505,0.0941,0.073,0.1101,
(V19) (436) HCS FT HARRISON MT,02 SURGERY,-,0.2727,0.3077,-,-,
(V19) (436) HCS FT HARRISON MT,03 GYNECOLOGY,-,1,-,-,1,
(V19) (436) HCS FT HARRISON MT,07 ORTHOPEDIC SURGERY,0.5106,-,-,0.1935,0.2222,
(V19) (436) HCS FT HARRISON MT,12 UROLOGY,-,-,1,-,-,
(V19) (436) HCS FT HARRISON MT,16 EMERGENCY MEDICINE,-,-,-,0.2,-,
(V19) (436) HCS FT HARRISON MT,21 GEN INTERNAL MED,-,-,0.0952,0.1106,0.1951,
(V19) (436) HCS FT HARRISON MT,25 GASTROENTEROLOGY,-,-,0.48,-,-,
(V19) (436) HCS FT HARRISON MT,31 PSYCHIATRY,0.2143,-,-,0.1026,0.125,
(V19) (436) HCS FT HARRISON MT,43 PATHOLOGY,-,-,0.4615,-,-,
(V19) (436) HCS FT HARRISON MT,44 PHYS MED & REHAB,1,-,-,-,-,
(V19) (436) HCS FT HARRISON MT,49 FAMILY PRACTICE,0.0916,0.0814,0.1143,0.0923,0.1586,
(V19) (436) HCS FT HARRISON MT,K6 HOSPITALIST,-,-,-,0.0976,0.1017,
(V19) (442) MROC CHEYENNE WY,0602 Physician (All Specialties),0.0891,0.224,0.1124,0.073,0.1326,
(V19) (442) MROC CHEYENNE WY,01 ANESTHESIOLOGY,-,-,-,1,-,
(V19) (442) MROC CHEYENNE WY,03 GYNECOLOGY,-,-,1,-,-,
(V19) (442) MROC CHEYENNE WY,07 ORTHOPEDIC SURGERY,-,-,0.6667,-,-,
(V19) (442) MROC CHEYENNE WY,08 OTOLARYNGOLOGY,-,1,-,-,-,
(V19) (442) MROC CHEYENNE WY,16 EMERGENCY MEDICINE,-,-,-,0.3529,0.3529,
(V19) (442) MROC CHEYENNE WY,21 GEN INTERNAL MED,-,0.4,0.2017,-,0.075,
(V19) (442) MROC CHEYENNE WY,31 PSYCHIATRY,0.48,0.7273,-,-,0.3913,
(V19) (442) MROC CHEYENNE WY,49 FAMILY PRACTICE,0.2222,-,-,-,-,
(V19) (442) MROC CHEYENNE WY,59 ASSOC COS AMBUL CARE,-,-,-,1,-,
(V19) (442) MROC CHEYENNE WY,P1 PRIMARY CARE,-,-,-,-,0.1905,
(V19) (554) HCS DENVER CO,0602 Physician (All Specialties),0.1031,0.0689,0.0878,0.1378,0.1369,
(V19) (554) HCS DENVER CO,01 ANESTHESIOLOGY,0.1622,0.1412,0.1277,0.2286,0.2353,
(V19) (554) HCS DENVER CO,02 SURGERY,-,0.0727,0.1538,0.1558,0.2647,
(V19) (554) HCS DENVER CO,03 GYNECOLOGY,-,-,-,-,0.4615,
(V19) (554) HCS DENVER CO,05 MEDICAL ONCOLOGY,-,-,1,-,-,
(V19) (554) HCS DENVER CO,07 ORTHOPEDIC SURGERY,0.1519,0.1714,-,-,0.129,
(V19) (554) HCS DENVER CO,12 UROLOGY,0.1644,-,0.1644,0.507,0.5,
(V19) (554) HCS DENVER CO,13 PHYSIATRY,-,-,-,-,0.2667,
(V19) (554) HCS DENVER CO,16 EMERGENCY MEDICINE,0.1121,-,0.0945,0.0845,0.1579,
(V19) (554) HCS DENVER CO,19 INFECTIOUS DISEASES,-,-,0.3333,-,-,
(V19) (554) HCS DENVER CO,20 DERMATOLOGY,0.2222,-,-,0.2759,0.169,
(V19) (554) HCS DENVER CO,21 GEN INTERNAL MED,0.0791,0.0855,0.0981,0.1489,0.1585,
(V19) (554) HCS DENVER CO,25 GASTROENTEROLOGY,0.3038,-,-,0.5783,0.1667,
(V19) (554) HCS DENVER CO,26 PULMONARY DISEASES,-,-,-,-,0.1569,
(V19) (554) HCS DENVER CO,27 NEPHROLOGY,0.1667,0.16,-,-,0.1319,
(V19) (554) HCS DENVER CO,28 RHEUMATOLOGY,-,-,0.3333,-,-,
(V19) (554) HCS DENVER CO,29 ENDOCRIN AND METAB,-,-,-,0.2,-,
(V19) (554) HCS DENVER CO,30 NEUROLOGY,0.1132,-,-,-,0.0902,
(V19) (554) HCS DENVER CO,31 PSYCHIATRY,0.1809,0.0293,0.0556,0.1834,0.1485,
(V19) (554) HCS DENVER CO,36 PREVENTIVE MEDICINE,0.75,-,-,-,-,
(V19) (554) HCS DENVER CO,38 RADIOLOGY-DIAGNOSTIC,-,0.0833,0.1778,0.0909,-,
(V19) (554) HCS DENVER CO,40 GERIATRICS,-,-,-,0.3243,0.2069,
(V19) (554) HCS DENVER CO,43 PATHOLOGY,0.1818,-,0.1739,0.3333,-,
(V19) (554) HCS DENVER CO,44 PHYS MED & REHAB,0.1967,0.3288,0.2449,-,-,
(V19) (554) HCS DENVER CO,47 RESEARCH-CAREER DEV,0.6667,1,-,-,-,
(V19) (554) HCS DENVER CO,49 FAMILY PRACTICE,-,-,-,0.1237,0.15,
(V19) (554) HCS DENVER CO,58 ASST CHIEF OF STAFF,-,-,-,1,-,
(V19) (554) HCS DENVER CO,E6 CARDIOLOGY NON-INTER,-,-,0.1008,-,0.1875,
(V19) (554) HCS DENVER CO,E7 RADIOLOGY (NUCLEAR),1,-,-,-,-,
(V19) (554) HCS DENVER CO,H1 PSYCHIATRY FELW,-,-,-,1,-,
(V19) (554) HCS DENVER CO,K6 HOSPITALIST,-,0.3158,0.25,-,-,
(V19) (554) HCS DENVER CO,P1 PRIMARY CARE,-,0.5,0.5217,-,0.2474,
(V19) (554) HCS DENVER CO,R4 VASCULAR SURGERY,-,0.4615,-,0.5,0.3333,
(V19) (575) MC GR JUNCTION CO,0602 Physician (All Specialties),0.0573,0.0587,0.0571,0.2985,0.1311,
(V19) (575) MC GR JUNCTION CO,02 SURGERY,-,-,-,0.4286,-,
(V19) (575) MC GR JUNCTION CO,12 UROLOGY,-,-,-,-,1,
(V19) (575) MC GR JUNCTION CO,21 GEN INTERNAL MED,-,-,0.0583,0.381,0.3103,
(V19) (575) MC GR JUNCTION CO,31 PSYCHIATRY,0.2034,-,-,-,-,
(V19) (575) MC GR JUNCTION CO,40 GERIATRICS,0.75,-,-,1,-,
(V19) (575) MC GR JUNCTION CO,49 FAMILY PRACTICE,-,-,1,-,-,
(V19) (575) MC GR JUNCTION CO,51 CHIEF OF STAFF,-,1,-,-,-,
(V19) (575) MC GR JUNCTION CO,K6 HOSPITALIST,-,-,-,1,-,
(V19) (575) MC GR JUNCTION CO,P1 PRIMARY CARE,-,-,-,1,-,
(V19) (575) MC GR JUNCTION CO,R4 VASCULAR SURGERY,-,1,-,-,-,
(V19) (660) HCS SALT LAKE CITYUT,0602 Physician (All Specialties),0.1024,0.0946,0.1106,0.0758,0.0718,
(V19) (660) HCS SALT LAKE CITYUT,01 ANESTHESIOLOGY,-,-,-,0.1026,0.1364,
(V19) (660) HCS SALT LAKE CITYUT,02 SURGERY,0.1846,-,0.0876,-,-,
(V19) (660) HCS SALT LAKE CITYUT,06 OPHTHALMOLOGY,0.1727,-,0.0769,0.0723,-,
(V19) (660) HCS SALT LAKE CITYUT,07 ORTHOPEDIC SURGERY,0.2985,0.4221,0.3462,0.3214,0.3364,
(V19) (660) HCS SALT LAKE CITYUT,08 OTOLARYNGOLOGY,0.2,-,0.15,-,-,
(V19) (660) HCS SALT LAKE CITYUT,09 PLASTIC SURGERY,-,-,-,-,0.75,
(V19) (660) HCS SALT LAKE CITYUT,12 UROLOGY,-,-,-,0.1143,-,
(V19) (660) HCS SALT LAKE CITYUT,16 EMERGENCY MEDICINE,-,1,-,-,-,
(V19) (660) HCS SALT LAKE CITYUT,18 HEMATOLOGY,-,-,-,0.1791,-,
(V19) (660) HCS SALT LAKE CITYUT,19 INFECTIOUS DISEASES,0.2069,-,0.1008,-,0.0851,
(V19) (660) HCS SALT LAKE CITYUT,20 DERMATOLOGY,-,-,-,-,0.129,
(V19) (660) HCS SALT LAKE CITYUT,21 GEN INTERNAL MED,0.1525,0.0524,0.1667,0.1043,0.1154,
(V19) (660) HCS SALT LAKE CITYUT,25 GASTROENTEROLOGY,0.3429,-,-,-,-,
(V19) (660) HCS SALT LAKE CITYUT,26 PULMONARY DISEASES,-,0.1304,-,-,0.1188,
(V19) (660) HCS SALT LAKE CITYUT,27 NEPHROLOGY,-,-,0.2759,-,-,
(V19) (660) HCS SALT LAKE CITYUT,29 ENDOCRIN AND METAB,-,-,0.1739,-,-,
(V19) (660) HCS SALT LAKE CITYUT,30 NEUROLOGY,0.1165,-,-,0.4286,-,
(V19) (660) HCS SALT LAKE CITYUT,31 PSYCHIATRY,0.0712,0.1091,0.1188,0.0363,0.0692,
(V19) (660) HCS SALT LAKE CITYUT,34 ADV GERIATRIC FELLOW,-,-,-,-,1,
(V19) (660) HCS SALT LAKE CITYUT,36 PREVENTIVE MEDICINE,-,1,-,-,-,
(V19) (660) HCS SALT LAKE CITYUT,40 GERIATRICS,-,-,-,-,0.1395,
(V19) (660) HCS SALT LAKE CITYUT,43 PATHOLOGY,-,0.2069,-,-,-,
(V19) (660) HCS SALT LAKE CITYUT,44 PHYS MED & REHAB,-,0.3,0.1667,-,-,
(V19) (660) HCS SALT LAKE CITYUT,49 FAMILY PRACTICE,0.3,-,0.24,0.2353,-,
(V19) (660) HCS SALT LAKE CITYUT,58 ASST CHIEF OF STAFF,-,-,1,-,-,
(V19) (660) HCS SALT LAKE CITYUT,E6 CARDIOLOGY NON-INTER,0.1091,0.2069,0.1062,-,-,
(V19) (660) HCS SALT LAKE CITYUT,P1 PRIMARY CARE,-,0.2667,0.3636,-,-,
(V19) (666) HCS SHERIDAN WY,0602 Physician (All Specialties),0.1272,0.1369,0.2034,0.1946,0.1311,
(V19) (666) HCS SHERIDAN WY,16 EMERGENCY MEDICINE,0.5,-,-,1,-,
(V19) (666) HCS SHERIDAN WY,21 GEN INTERNAL MED,0.2791,-,-,-,0.2791,
(V19) (666) HCS SHERIDAN WY,31 PSYCHIATRY,-,0.1277,0.4865,-,-,
(V19) (666) HCS SHERIDAN WY,49 FAMILY PRACTICE,0.169,0.3934,0.2667,0.2182,0.2449,
V20,0602 Physician (All Specialties),0.0789,0.1005,0.0934,0.1108,0.1076,
V20,01 ANESTHESIOLOGY,0.17,0.068,0.0968,0.1653,0.0288,
V20,02 SURGERY,0.0395,0.1241,0.0743,0.0721,-,
V20,05 MEDICAL ONCOLOGY,-,-,-,0.2353,-,
V20,06 OPHTHALMOLOGY,-,0.067,0.1311,0.1218,0.169,
V20,07 ORTHOPEDIC SURGERY,-,0.0828,0.0916,0.0789,0.2209,
V20,08 OTOLARYNGOLOGY,0.1132,-,-,0.2286,0.2143,
V20,12 UROLOGY,-,0.1791,0.0615,-,0.0511,
V20,13 PHYSIATRY,-,-,-,0.3243,-,
V20,16 EMERGENCY MEDICINE,0.1622,0.2154,0.031,0.1053,0.1253,
V20,18 HEMATOLOGY,-,-,0.1446,-,-,
V20,19 INFECTIOUS DISEASES,-,0.2,-,-,-,
V20,20 DERMATOLOGY,0.1791,0.1446,-,0.1304,0.3364,
V20,21 GEN INTERNAL MED,0.0921,0.0859,0.0749,0.0968,0.1023,
V20,23 ALLERGY & IMMUNOLOGY,-,1,-,-,-,
V20,25 GASTROENTEROLOGY,0.1171,0.0541,0.0988,0.0484,0.0996,
V20,26 PULMONARY DISEASES,0.0432,-,-,0.0408,0.0734,
V20,27 NEPHROLOGY,-,-,0.0816,-,0.0674,
V20,28 RHEUMATOLOGY,-,-,-,0.1846,0.0851,
V20,29 ENDOCRIN AND METAB,-,-,-,0.1212,-,
V20,30 NEUROLOGY,0.0952,-,-,0.1702,0.137,
V20,31 PSYCHIATRY,0.0806,0.1218,0.1128,0.1512,0.0838,
V20,32 ANATOMIC PATHOLOGY,-,0.2791,-,-,0.2927,
V20,34 ADV GERIATRIC FELLOW,-,0.5217,0.8571,0.9231,-,
V20,37 ADV SPINAL CORD FELW,-,-,1,-,1,
V20,38 RADIOLOGY-DIAGNOSTIC,0.0902,0.1263,0.0882,0.1659,0.1174,
V20,39 RADIOLOGY-THERAPEU,-,0.6,-,-,-,
V20,40 GERIATRICS,0.1165,-,0.087,0.1283,-,
V20,43 PATHOLOGY,-,0.1017,0.1832,0.1805,0.3077,
V20,44 PHYS MED & REHAB,0.0436,0.1959,0.0465,-,-,
V20,49 FAMILY PRACTICE,0.1314,0.1574,0.1111,0.1354,0.2759,
V20,50 ADMITTING PHYSICIAN,-,-,-,-,0.6667,
V20,51 CHIEF OF STAFF,-,-,-,0.4235,0.1765,
V20,54 ASSOC COS RES & DEV,-,-,0.5,-,-,
V20,"57 PHYS--ADMIN, OTHER",-,-,0.186,0.0882,-,
V20,59 ASSOC COS AMBUL CARE,-,-,0.6,-,0.2791,
V20,E1 ASSOC COS EXT CARE,-,-,0.7059,-,-,
V20,E5 NEUROSURGERY,-,-,0.2182,-,-,
V20,H1 PSYCHIATRY FELW,-,0.3529,-,-,0.973,
V20,H6 NEUROLOGY FELLOW,-,1,-,0.5,-,
V20,H7 HLTH SVCS RESCH FELW,0.3158,0.3934,0.5455,0.2182,0.3038,
V20,H8 NEURO/TRAU BRN INJ F,0.381,0.3117,0.8108,-,0.4615,
V20,H9 WOMEN VETS HLTH FELW,1,0.6316,1,-,-,
V20,K3 NAT'L QUAL SCHOLARS,-,-,-,1,-,
V20,K6 HOSPITALIST,0.067,0.1593,0.4248,0.2166,0.1391,
V20,M5 MEDINFO POSTDOC FELW,0.8571,1,-,0.5455,-,
V20,M9 CARDIOLOGY-INTERVEN,0.2105,-,-,-,-,
V20,P1 PRIMARY CARE,0.1412,0.1455,0.0588,0.0813,0.1316,
V20,P3 CHIEF MED OFCR VISN,-,-,-,-,1,
(V20) (463) HCSROANCHORAGE AK,0602 Physician (All Specialties),0.0773,0.209,0.1132,0.102,0.1796,
(V20) (463) HCSROANCHORAGE AK,06 OPHTHALMOLOGY,-,-,-,-,1,
(V20) (463) HCSROANCHORAGE AK,07 ORTHOPEDIC SURGERY,-,-,-,-,1,
(V20) (463) HCSROANCHORAGE AK,12 UROLOGY,-,1.5,-,-,-,
(V20) (463) HCSROANCHORAGE AK,20 DERMATOLOGY,-,1,-,-,-,
(V20) (463) HCSROANCHORAGE AK,21 GEN INTERNAL MED,0.0764,0.0822,0.2051,0.1212,-,
(V20) (463) HCSROANCHORAGE AK,28 RHEUMATOLOGY,-,-,-,-,0.6111,
(V20) (463) HCSROANCHORAGE AK,31 PSYCHIATRY,0.2667,-,-,-,-,
(V20) (463) HCSROANCHORAGE AK,38 RADIOLOGY-DIAGNOSTIC,1,-,-,-,-,
(V20) (463) HCSROANCHORAGE AK,44 PHYS MED & REHAB,-,1,-,-,-,
(V20) (463) HCSROANCHORAGE AK,49 FAMILY PRACTICE,-,0.1739,0.2,0.3158,0.2353,
(V20) (463) HCSROANCHORAGE AK,59 ASSOC COS AMBUL CARE,-,-,-,-,1,
(V20) (496) V20HNVANCOUVER WA,0602 Physician (All Specialties),-,-,0.2667,-,1.3333,
(V20) (496) V20HNVANCOUVER WA,06 OPHTHALMOLOGY,-,-,-,-,1,
(V20) (496) V20HNVANCOUVER WA,"57 PHYS--ADMIN, OTHER",-,-,1,-,-,
(V20) (496) V20HNVANCOUVER WA,P3 CHIEF MED OFCR VISN,-,-,-,-,1,
(V20) (531) MC BOISE ID,0602 Physician (All Specialties),0.0893,0.0566,0.0845,0.0889,0.0658,
(V20) (531) MC BOISE ID,02 SURGERY,-,0.3,-,-,-,
(V20) (531) MC BOISE ID,06 OPHTHALMOLOGY,-,-,1,-,-,
(V20) (531) MC BOISE ID,12 UROLOGY,-,-,-,-,1,
(V20) (531) MC BOISE ID,16 EMERGENCY MEDICINE,0.1905,-,-,0.1364,0.1154,
(V20) (531) MC BOISE ID,21 GEN INTERNAL MED,0.049,0.1013,-,0.0913,0.0467,
(V20) (531) MC BOISE ID,25 GASTROENTEROLOGY,-,-,0.8571,-,-,
(V20) (531) MC BOISE ID,26 PULMONARY DISEASES,-,-,-,0.2449,0.2308,
(V20) (531) MC BOISE ID,30 NEUROLOGY,-,-,-,-,0.5,
(V20) (531) MC BOISE ID,31 PSYCHIATRY,0.1983,-,0.1875,-,0.0745,
(V20) (531) MC BOISE ID,38 RADIOLOGY-DIAGNOSTIC,-,-,-,0.5,-,
(V20) (531) MC BOISE ID,39 RADIOLOGY-THERAPEU,-,1,-,-,-,
(V20) (531) MC BOISE ID,43 PATHOLOGY,-,-,0.5,0.5455,-,
(V20) (531) MC BOISE ID,49 FAMILY PRACTICE,0.2667,-,-,0.1765,-,
(V20) (531) MC BOISE ID,P1 PRIMARY CARE,0.4,-,0.24,-,-,
(V20) (648) MC PORTLAND OR,0602 Physician (All Specialties),0.0526,0.0812,0.0658,0.085,0.0982,
(V20) (648) MC PORTLAND OR,01 ANESTHESIOLOGY,-,-,0.0656,-,0.0563,
(V20) (648) MC PORTLAND OR,02 SURGERY,-,0.2857,0.1319,-,-,
(V20) (648) MC PORTLAND OR,07 ORTHOPEDIC SURGERY,-,0.2034,-,0.2143,0.2353,
(V20) (648) MC PORTLAND OR,08 OTOLARYNGOLOGY,0.2609,-,-,0.3429,-,
(V20) (648) MC PORTLAND OR,13 PHYSIATRY,-,-,-,0.5,-,
(V20) (648) MC PORTLAND OR,16 EMERGENCY MEDICINE,-,-,-,-,0.1404,
(V20) (648) MC PORTLAND OR,20 DERMATOLOGY,0.5455,-,-,0.375,-,
(V20) (648) MC PORTLAND OR,21 GEN INTERNAL MED,0.0766,0.0741,0.0748,0.133,0.1028,
(V20) (648) MC PORTLAND OR,25 GASTROENTEROLOGY,-,-,-,0.1304,-,
(V20) (648) MC PORTLAND OR,27 NEPHROLOGY,-,-,0.129,-,0.1111,
(V20) (648) MC PORTLAND OR,29 ENDOCRIN AND METAB,-,-,-,0.4444,-,
(V20) (648) MC PORTLAND OR,30 NEUROLOGY,0.0462,-,-,0.1129,0.1173,
(V20) (648) MC PORTLAND OR,31 PSYCHIATRY,0.0298,0.1442,0.0532,0.0496,0.129,
(V20) (648) MC PORTLAND OR,32 ANATOMIC PATHOLOGY,-,0.6316,-,-,0.7059,
(V20) (648) MC PORTLAND OR,38 RADIOLOGY-DIAGNOSTIC,0.0938,0.2034,0.1026,-,0.2051,
(V20) (648) MC PORTLAND OR,40 GERIATRICS,-,-,-,0.3478,-,
(V20) (648) MC PORTLAND OR,43 PATHOLOGY,-,0.2609,0.2264,-,0.2143,
(V20) (648) MC PORTLAND OR,44 PHYS MED & REHAB,-,0.3636,-,-,-,
(V20) (648) MC PORTLAND OR,49 FAMILY PRACTICE,-,-,-,0.1188,0.3214,
(V20) (648) MC PORTLAND OR,51 CHIEF OF STAFF,-,-,-,1,-,
(V20) (648) MC PORTLAND OR,E1 ASSOC COS EXT CARE,-,-,1,-,-,
(V20) (648) MC PORTLAND OR,E5 NEUROSURGERY,-,-,0.2791,-,-,
(V20) (648) MC PORTLAND OR,H1 PSYCHIATRY FELW,-,-,-,-,1,
(V20) (648) MC PORTLAND OR,H6 NEUROLOGY FELLOW,-,1,-,0.5,-,
(V20) (648) MC PORTLAND OR,H8 NEURO/TRAU BRN INJ F,0.5,0.2353,0.9412,-,0.2105,
(V20) (648) MC PORTLAND OR,H9 WOMEN VETS HLTH FELW,1,0.6316,1,-,-,
(V20) (648) MC PORTLAND OR,K3 NAT'L QUAL SCHOLARS,-,-,-,1,-,
(V20) (648) MC PORTLAND OR,K6 HOSPITALIST,-,0.5714,-,-,-,
(V20) (648) MC PORTLAND OR,M5 MEDINFO POSTDOC FELW,-,1,-,-,-,
(V20) (648) MC PORTLAND OR,M9 CARDIOLOGY-INTERVEN,0.2667,-,-,-,-,
(V20) (653) HCS ROSEBURG OR,0602 Physician (All Specialties),0.0978,0.1004,0.0716,0.1834,0.096,
(V20) (653) HCS ROSEBURG OR,02 SURGERY,-,-,-,0.4,-,
(V20) (653) HCS ROSEBURG OR,16 EMERGENCY MEDICINE,0.6,-,-,0.6667,-,
(V20) (653) HCS ROSEBURG OR,21 GEN INTERNAL MED,0.2209,0.0755,0.1244,-,0.0714,
(V20) (653) HCS ROSEBURG OR,25 GASTROENTEROLOGY,-,0.5217,-,-,-,
(V20) (653) HCS ROSEBURG OR,26 PULMONARY DISEASES,-,-,-,-,1,
(V20) (653) HCS ROSEBURG OR,31 PSYCHIATRY,-,-,-,0.5455,0.3582,
(V20) (653) HCS ROSEBURG OR,38 RADIOLOGY-DIAGNOSTIC,-,0.2308,-,0.2105,-,
(V20) (653) HCS ROSEBURG OR,51 CHIEF OF STAFF,-,-,-,1,-,
(V20) (653) HCS ROSEBURG OR,59 ASSOC COS AMBUL CARE,-,-,1,-,-,
(V20) (653) HCS ROSEBURG OR,P1 PRIMARY CARE,-,1,-,-,-,
(V20) (663) HCS SEATTLE WA,0602 Physician (All Specialties),0.0951,0.105,0.13,0.0998,0.098,
(V20) (663) HCS SEATTLE WA,01 ANESTHESIOLOGY,0.3774,0.1739,0.1569,0.4615,-,
(V20) (663) HCS SEATTLE WA,02 SURGERY,0.2,-,-,-,-,
(V20) (663) HCS SEATTLE WA,05 MEDICAL ONCOLOGY,-,-,-,0.4444,-,
(V20) (663) HCS SEATTLE WA,06 OPHTHALMOLOGY,-,-,0.2308,0.6154,-,
(V20) (663) HCS SEATTLE WA,07 ORTHOPEDIC SURGERY,-,-,0.3429,-,-,
(V20) (663) HCS SEATTLE WA,08 OTOLARYNGOLOGY,-,-,-,0.2069,0.1967,
(V20) (663) HCS SEATTLE WA,12 UROLOGY,-,-,0.0984,-,-,
(V20) (663) HCS SEATTLE WA,16 EMERGENCY MEDICINE,-,0.5538,0.1967,-,-,
(V20) (663) HCS SEATTLE WA,18 HEMATOLOGY,-,-,0.5217,-,-,
(V20) (663) HCS SEATTLE WA,19 INFECTIOUS DISEASES,-,0.5,-,-,-,
(V20) (663) HCS SEATTLE WA,20 DERMATOLOGY,-,-,-,-,0.72,
(V20) (663) HCS SEATTLE WA,21 GEN INTERNAL MED,0.0859,0.1188,0.0938,-,0.1006,
(V20) (663) HCS SEATTLE WA,23 ALLERGY & IMMUNOLOGY,-,1,-,-,-,
(V20) (663) HCS SEATTLE WA,25 GASTROENTEROLOGY,0.1333,-,0.1091,-,0.1081,
(V20) (663) HCS SEATTLE WA,26 PULMONARY DISEASES,0.3243,-,-,-,-,
(V20) (663) HCS SEATTLE WA,28 RHEUMATOLOGY,-,-,-,0.5581,-,
(V20) (663) HCS SEATTLE WA,30 NEUROLOGY,0.2264,-,-,0.4186,0.1237,
(V20) (663) HCS SEATTLE WA,31 PSYCHIATRY,0.0902,0.0865,0.1438,0.1649,0.057,
(V20) (663) HCS SEATTLE WA,34 ADV GERIATRIC FELLOW,-,0.5217,0.8571,0.9231,-,
(V20) (663) HCS SEATTLE WA,37 ADV SPINAL CORD FELW,-,-,1,-,1,
(V20) (663) HCS SEATTLE WA,38 RADIOLOGY-DIAGNOSTIC,0.0851,0.0889,0.0992,-,0.1791,
(V20) (663) HCS SEATTLE WA,40 GERIATRICS,0.16,-,0.1395,-,-,
(V20) (663) HCS SEATTLE WA,43 PATHOLOGY,-,-,-,0.2609,0.4,
(V20) (663) HCS SEATTLE WA,44 PHYS MED & REHAB,0.0645,0.1404,0.0678,-,-,
(V20) (663) HCS SEATTLE WA,49 FAMILY PRACTICE,-,-,0.2553,-,0.4615,
(V20) (663) HCS SEATTLE WA,54 ASSOC COS RES & DEV,-,-,1,-,-,
(V20) (663) HCS SEATTLE WA,H1 PSYCHIATRY FELW,-,0.3529,-,-,0.7059,
(V20) (663) HCS SEATTLE WA,H7 HLTH SVCS RESCH FELW,0.3158,0.3934,0.5455,0.2182,0.3038,
(V20) (663) HCS SEATTLE WA,H8 NEURO/TRAU BRN INJ F,-,0.4615,0.5217,-,1.1429,
(V20) (663) HCS SEATTLE WA,K6 HOSPITALIST,0.193,0.2243,0.5455,0.1885,0.2034,
(V20) (663) HCS SEATTLE WA,M5 MEDINFO POSTDOC FELW,1,-,-,1,-,
(V20) (663) HCS SEATTLE WA,P1 PRIMARY CARE,0.1101,0.2975,0.0656,0.0482,0.1719,
(V20) (668) MC SPOKANE WA,0602 Physician (All Specialties),0.1064,0.1948,0.0909,0.1722,0.136,
(V20) (668) MC SPOKANE WA,02 SURGERY,-,-,0.1765,0.2353,-,
