Location 102016 Pending,"1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0å_14
Days","9. EWL 0å_
14 Days","10. Appts
Between 15å_30
Days","11. EWL 15
å_30 days","12. Appts
Between 31å_60
Days","13. EWL 31
å_60 Days","14. Appts
Between 61å_90
Days","15. EWL 61
å_90 Days","16. Appts
Between 91å_
120 Days","17. EWL 91
å_120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V10) (538GC) Marietta,909,888,97.69%,21,2.31%,0,0,824,0,64,0,18,0,2,0,1,0,0,0,3.37,3.8,3.04
(V10) (538GD) Lancaster,"1,446","1,364",94.33%,82,5.67%,0,0,"1,304",0,60,0,65,0,15,0,2,0,0,0,4.39,3.56,7.56
(V10) (538GE) Cambridge,"1,117","1,110",99.37%,7,0.63%,0,0,"1,055",0,55,0,4,0,0,0,3,0,0,0,1.32,1.1,4.62
"(V10) (539) Cincinnati, OH","50,102","48,071",95.95%,"2,031",4.05%,28,163,"45,716",23,"2,355",16,"1,190",32,526,66,270,4,45,21,2.48,6.45,1.31
(V10) (539) Cincinnati VAMC,"32,535","30,660",94.24%,"1,875",5.76%,0,129,"28,566",7,"2,094",7,"1,099",23,496,66,256,4,24,21,4.97,7.36,1.11
"(V10) (539A4) Cincinnati VAMC-Fort
Thomas",776,771,99.36%,5,0.64%,0,0,765,0,6,0,5,0,0,0,0,0,0,0,,0.85,0.62
(V10) (539BV) Fort Thomas PRRTP,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
(V10) (539GA) Bellevue,"2,012","1,995",99.16%,17,0.84%,0,1,"1,961",1,34,0,15,0,0,0,1,0,1,0,2.11,1.58,3.18
(V10) (539GB) Clermont County,"4,979","4,901",98.43%,78,1.57%,0,22,"4,822",8,79,9,44,5,14,0,10,0,10,0,1.62,4.55,1.32
(V10) (539GC) Dearborn,"2,876","2,863",99.55%,13,0.45%,0,2,"2,847",1,16,0,2,1,5,0,1,0,5,0,1.79,1.31,1.44
(V10) (539GD) Florence,"3,258","3,238",99.39%,20,0.61%,0,6,"3,179",5,59,0,14,1,4,0,0,0,2,0,1.56,3.99,2.01
(V10) (539GE) Hamilton,"3,007","2,991",99.47%,16,0.53%,0,2,"2,960",0,31,0,8,2,6,0,0,0,2,0,0.83,1.62,0.72
(V10) (539GF) Georgetown,656,649,98.93%,7,1.07%,0,1,613,1,36,0,3,0,1,0,2,0,1,0,3.43,0.4,4.01
(V10) (539QA) Cincinnati VA Mobile Clinic,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
"(V10) (541) Cleveland, OH","93,682","86,528",92.36%,"7,154",7.64%,64,46,"80,678",7,"5,850",4,"5,163",8,"1,369",0,388,26,234,1,3.87,10.15,2.86
"(V10) (541) Louis Stokes Cleveland
VAMC","38,804","34,640",89.27%,"4,164",10.73%,0,40,"31,185",4,"3,455",2,"3,499",7,548,0,91,26,26,1,5.23,11.35,5.61
(V10) (541BY) Canton,"7,995","6,849",85.67%,"1,146",14.33%,0,1,"6,137",0,712,1,503,0,471,0,121,0,51,0,8.14,20.72,1.03
(V10) (541BZ) Youngstown,"5,857","5,759",98.33%,98,1.67%,0,2,"5,542",2,217,0,83,0,13,0,2,0,0,0,2.65,4.08,1.34
(V10) (541GB) Lorain,"2,860","2,840",99.30%,20,0.70%,0,0,"2,767",0,73,0,17,0,1,0,1,0,1,0,2.03,1.68,0.83
(V10) (541GC) Sandusky,"2,529","2,408",95.22%,121,4.78%,0,1,"2,341",0,67,0,68,1,53,0,0,0,0,0,5.74,2,0.56
(V10) (541GD) David F Winder VA CBOC,"5,137","5,113",99.53%,24,0.47%,0,0,"5,102",0,11,0,16,0,5,0,2,0,1,0,0.15,0.63,0.8
(V10) (541GE) McCafferty,857,796,92.88%,61,7.12%,0,0,735,0,61,0,60,0,1,0,0,0,0,0,1.06,3.77,9.86
(V10) (541GF) Painesville,"3,174","3,160",99.56%,14,0.44%,0,0,"3,122",0,38,0,6,0,7,0,1,0,0,0,1.34,1.24,0.93
(V10) (541GG) Akron,"7,988","7,554",94.57%,434,5.43%,0,0,"7,150",0,404,0,358,0,58,0,11,0,7,0,3.36,7.07,2.72
(V10) (541GH) East Liverpool,"1,562","1,538",98.46%,24,1.54%,0,0,"1,511",0,27,0,18,0,4,0,2,0,0,0,2.23,1.05,0.46
(V10) (541GI) Warren,"2,171","2,153",99.17%,18,0.83%,0,0,"2,066",0,87,0,10,0,5,0,2,0,1,0,4.43,2.69,2.83
(V10) (541GJ) New Philadelphia,"1,673","1,649",98.57%,24,1.43%,0,0,"1,627",0,22,0,24,0,0,0,0,0,0,0,1.69,1.48,0.76
(V10) (541GK) Ravenna,"2,243","2,208",98.44%,35,1.56%,0,0,"2,188",0,20,0,21,0,7,0,7,0,0,0,2.32,1.23,0.44
(V10) (541GL) Parma,"10,101","9,530",94.35%,571,5.65%,0,1,"8,893",1,637,0,453,0,113,0,5,0,0,0,4.68,6.16,4.09
"(V10) (541GM) Cleveland VA Clinic-
Superior",70,70,100.00%,0,0.00%,0,0,70,0,0,0,0,0,0,0,0,0,0,0,,,
(V10) (541PA) Cleveland PRRTP OH,15,15,100.00%,0,0.00%,0,0,14,0,1,0,0,0,0,0,0,0,0,0,,,
"(V10) (541QF) Cuyahoga County 4 VA
Mobile Clinic",646,246,38.08%,400,61.92%,0,1,228,0,18,1,27,0,83,0,143,0,147,0,,70.49,
"(V10) (552) Dayton, OH","28,155","26,497",94.11%,"1,658",5.89%,34,133,"24,399",113,"2,098",4,"1,386",6,203,5,51,0,18,5,2.27,9.11,3.48
(V10) (552) Dayton VAMC,"21,662","20,255",93.50%,"1,407",6.50%,0,9,"18,613",1,"1,642",0,"1,166",4,189,0,40,0,12,4,1.27,9.36,2.84
(V10) (552GA) Middletown,"1,639","1,627",99.27%,12,0.73%,0,3,"1,542",1,85,2,10,0,1,0,1,0,0,0,1.9,4.57,2.86
(V10) (552GB) Lima,"1,845","1,769",95.88%,76,4.12%,0,32,"1,661",31,108,1,52,0,11,0,8,0,5,0,1.52,10.56,2.88
(V10) (552GC) Richmond,"1,857","1,708",91.98%,149,8.02%,0,17,"1,504",16,204,0,146,0,2,0,1,0,0,1,7.26,11.5,5.95
(V10) (552GD) Springfield,"1,152","1,138",98.78%,14,1.22%,0,72,"1,079",64,59,1,12,2,0,5,1,0,1,0,0.91,2.89,9
"(V10) (757) Columbus, OH","49,569","43,506",87.77%,"6,063",12.23%,19,32,"38,997",13,"4,509",10,"4,107",8,"1,376",1,394,0,186,0,7.7,12.82,5.29
"(V10) (757) Chalmers P Wylie Veterans
OC","39,625","34,119",86.10%,"5,506",13.90%,0,32,"30,310",13,"3,809",10,"3,672",8,"1,291",1,376,0,167,0,8.16,13.2,4.37
(V10) (757GA) Zanesville,"1,828","1,599",87.47%,229,12.53%,0,0,"1,383",0,216,0,159,0,58,0,8,0,4,0,14.89,3.44,7.52
(V10) (757GB) Grove City,"1,560","1,551",99.42%,9,0.58%,0,0,"1,494",0,57,0,9,0,0,0,0,0,0,0,0.82,7.31,3.39
(V10) (757GC) Marion,"2,465","2,437",98.86%,28,1.14%,0,0,"2,326",0,111,0,24,0,2,0,0,0,2,0,3.64,3.54,4.85
(V10) (757GD) Newark,"1,729","1,615",93.41%,114,6.59%,0,0,"1,418",0,197,0,75,0,19,0,7,0,13,0,7.55,13.29,8.69
"(V10) (757QA) Columbus 1 VA Mobile
Clinic",5,5,100.00%,0,0.00%,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,
(V10) (757QC) Columbus VA Clinic,"2,357","2,180",92.49%,177,7.51%,0,0,"2,061",0,119,0,168,0,6,0,3,0,0,0,,,5.8
"(V11) (506) Ann Arbor, MI","62,512","56,994",91.17%,"5,518",8.83%,14,"1,431","53,022",109,"3,972",214,"2,889",319,"1,752",268,516,221,361,290,5.76,11.8,3.66
(V11) (506) Ann Arbor VAMC,"45,265","41,254",91.14%,"4,011",8.86%,0,"1,430","38,520",108,"2,734",214,"2,086",319,"1,126",268,460,221,339,290,4.22,11.36,4.52
(V11) (506GB) Flint,"2,124","2,036",95.86%,88,4.14%,0,0,"1,837",0,199,0,67,0,13,0,3,0,5,0,6.96,6.41,3.49
(V11) (506GC) Jackson,"1,272","1,247",98.03%,25,1.97%,0,0,"1,181",0,66,0,16,0,5,0,4,0,0,0,5.41,1.64,4.29
"(V11) (515) Battle Creek, MI","27,859","26,523",95.20%,"1,336",4.80%,17,2,"24,051",2,"2,472",0,"1,144",0,143,0,39,0,10,0,3.54,7.12,4.71
(V11) (515) Battle Creek VAMC,"11,860","11,373",95.89%,487,4.11%,0,1,"10,229",1,"1,144",0,447,0,31,0,4,0,5,0,4.54,5.78,3.36
(V11) (515BU) Battle Creek Domiciliary,31,31,100.00%,0,0.00%,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,,
(V11) (515BY) Wyoming,"11,797","11,026",93.46%,771,6.54%,0,1,"9,938",1,"1,088",0,624,0,110,0,34,0,3,0,2.99,9.09,6.96
(V11) (515GA) Muskegon,"1,479","1,459",98.65%,20,1.35%,0,0,"1,409",0,50,0,17,0,1,0,0,0,2,0,2.16,2.48,4.15
(V11) (515GB) Lansing South,"1,982","1,931",97.43%,51,2.57%,0,0,"1,775",0,156,0,50,0,1,0,0,0,0,0,4.92,0.87,4.2
(V11) (515GC) Benton Harbor,710,703,99.01%,7,0.99%,0,0,669,0,34,0,6,0,0,0,1,0,0,0,1.87,4.21,1.06
"(V11) (550) Danville, IL","30,362","28,755",94.71%,"1,607",5.29%,5,1,"27,257",1,"1,498",0,"1,252",0,166,0,150,0,39,0,3.32,6.36,5.94
(V11) (550) Danville VAMC,"14,690","14,143",96.28%,547,3.72%,0,1,"13,469",1,674,0,491,0,28,0,9,0,19,0,1.7,5,1.39
(V11) (550BY) Bob Michel VA OPC,"8,594","7,656",89.09%,938,10.91%,0,0,"7,120",0,536,0,656,0,131,0,139,0,12,0,4.52,11.61,15.66
(V11) (550GA) Decatur,"2,564","2,505",97.70%,59,2.30%,0,0,"2,407",0,98,0,56,0,3,0,0,0,0,0,4.31,2.13,1.54
(V11) (550GC) Lafayette,"1,091","1,077",98.72%,14,1.28%,0,0,"1,039",0,38,0,11,0,3,0,0,0,0,0,1.65,0.19,2.9
(V11) (550GD) Springfield,"2,697","2,662",98.70%,35,1.30%,0,0,"2,558",0,104,0,28,0,1,0,1,0,5,0,3.05,1.58,2.01
(V11) (550GF) Charleston,726,712,98.07%,14,1.93%,0,0,664,0,48,0,10,0,0,0,1,0,3,0,5.58,5.98,3.35
"(V11) (553) Detroit, MI","64,268","58,646",91.25%,"5,622",8.75%,18,285,"54,768",51,"3,878",46,"2,924",90,"1,179",53,488,32,"1,031",12,5.3,13.61,2.67
(V11) (553) John D Dingell VAMC,"59,736","54,132",90.62%,"5,604",9.38%,0,285,"50,511",51,"3,621",46,"2,910",90,"1,178",53,488,32,"1,028",12,5.86,13.65,2.72
(V11) (553GA) Yale,"2,116","2,109",99.67%,7,0.33%,0,0,"1,969",0,140,0,7,0,0,0,0,0,0,0,4.1,,0
(V11) (553GB) Pontiac,"2,416","2,405",99.54%,11,0.46%,0,0,"2,288",0,117,0,7,0,1,0,0,0,3,0,2.73,7.04,2.59
"(V11) (583) Indianapolis, IN","61,289","56,305",91.87%,"4,984",8.13%,13,3,"52,174",3,"4,131",0,"3,475",0,"1,174",0,202,0,133,0,3.84,7.43,8.14
(V11) (583) Richard L Roudebush VAMC,"56,550","51,822",91.64%,"4,728",8.36%,0,3,"47,817",3,"4,005",0,"3,335",0,"1,077",0,189,0,127,0,4.31,7.5,8.42
(V11) (583GA) Terre Haute,"1,824","1,798",98.57%,26,1.43%,0,0,"1,758",0,40,0,15,0,3,0,7,0,1,0,0.88,2.52,4.03
(V11) (583GB) Bloomington,"1,790","1,685",94.13%,105,5.87%,0,0,"1,623",0,62,0,54,0,43,0,4,0,4,0,0.63,2.61,4.7
(V11) (583GC) Martinsville,494,450,91.09%,44,8.91%,0,0,446,0,4,0,41,0,3,0,0,0,0,0,0.45,0.12,16.77
(V11) (583GF) Wakeman,631,550,87.16%,81,12.84%,0,0,530,0,20,0,30,0,48,0,2,0,1,0,9.58,5.6,17.19
"(V11) (610) Northern Indiana HCS, IN","37,081","32,657",88.07%,"4,424",11.93%,43,0,"29,783",0,"2,874",0,"2,511",0,"1,706",0,107,0,100,0,7.12,16.89,2.48
(V11) (610) Marion VAMC,"8,970","8,065",89.91%,905,10.09%,0,0,"7,150",0,915,0,788,0,88,0,14,0,15,0,6.37,14.42,3.34
(V11) (610A4) Fort Wayne VAMC,"17,014","13,803",81.13%,"3,211",18.87%,0,0,"12,238",0,"1,565",0,"1,495",0,"1,549",0,87,0,80,0,9.76,17.96,10.28
(V11) (610BU) Marion VADOM,7,7,100.00%,0,0.00%,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,
(V11) (610GA) South Bend,"3,375","3,355",99.41%,20,0.59%,0,0,"3,284",0,71,0,17,0,3,0,0,0,0,0,2.56,2.24,0.93
(V11) (610GB) Muncie,"1,836","1,815",98.86%,21,1.14%,0,0,"1,677",0,138,0,18,0,0,0,1,0,2,0,4.81,3.25,2.65
(V11) (610GC) Goshen,"1,716","1,698",98.95%,18,1.05%,0,0,"1,671",0,27,0,12,0,4,0,2,0,0,0,1.57,4.71,3.04
(V11) (610GD) Peru,"1,433","1,194",83.32%,239,16.68%,0,0,"1,059",0,135,0,177,0,57,0,2,0,3,0,16.14,0.29,4.2
(V11) (610QA) Fort Wayne VA Clinic,"2,730","2,720",99.63%,10,0.37%,0,0,"2,697",0,23,0,4,0,5,0,1,0,0,0,,,1.25
"(V11) (655) Saginaw, MI","29,081","26,735",91.93%,"2,346",8.07%,15,2,"24,776",2,"1,959",0,"1,343",0,414,0,231,0,358,0,3.18,14.82,2.06
(V11) (655) Aleda E Lutz VAMC,"19,738","17,658",89.46%,"2,080",10.54%,0,2,"16,285",2,"1,373",0,"1,128",0,387,0,220,0,345,0,3.13,15.95,1.85
(V11) (655GA) Gaylord,"1,044",997,95.50%,47,4.50%,0,0,951,0,46,0,34,0,7,0,5,0,1,0,1.91,15.23,0.67
(V11) (655GB) Traverse City,871,846,97.13%,25,2.87%,0,0,749,0,97,0,24,0,1,0,0,0,0,0,4.19,6.33,0.9
(V11) (655GC) Oscoda,769,738,95.97%,31,4.03%,0,0,636,0,102,0,28,0,3,0,0,0,0,0,4.42,10.72,1.61
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",816,777,95.22%,39,4.78%,0,0,738,0,39,0,30,0,0,0,3,0,6,0,1.86,8.13,4.56
(V11) (655GE) Clare,"1,195","1,173",98.16%,22,1.84%,0,0,"1,090",0,83,0,21,0,1,0,0,0,0,0,3.14,2.16,3.19
(V11) (655GF) Bad Axe,586,574,97.95%,12,2.05%,0,0,567,0,7,0,9,0,3,0,0,0,0,0,2.04,2.38,0.79
(V11) (655GG) Cadillac,"1,246","1,210",97.11%,36,2.89%,0,0,"1,116",0,94,0,31,0,5,0,0,0,0,0,3.49,7.58,2.13
(V11) (655GH) Cheboygan,634,632,99.68%,2,0.32%,0,0,624,0,8,0,2,0,0,0,0,0,0,0,0.88,3.62,0.41
(V11) (655GI) Grayling,684,647,94.59%,37,5.41%,0,0,583,0,64,0,34,0,3,0,0,0,0,0,4.77,4.82,6.24
(V11) (655QB) Grand Traverse,"1,498","1,483",99.00%,15,1.00%,0,0,"1,437",0,46,0,2,0,4,0,3,0,6,0,,2.54,1.62
"(V12) (537) Jesse Brown VAMC (Chicago), IL","49,366","46,182",93.55%,"3,184",6.45%,45,517,"42,827",56,"3,355",61,"1,754",272,960,88,286,15,184,24,4.79,9.87,4.25
(V12) (537) Jesse Brown VAMC,"37,714","35,339",93.70%,"2,375",6.30%,0,511,"32,950",54,"2,389",61,"1,157",271,785,88,254,15,179,21,4.8,8.86,3.79
"(V12) (537BY) Adam Benjamin Jr VA
OPC","8,836","8,056",91.17%,780,8.83%,0,2,"7,335",1,721,0,579,0,167,0,30,0,4,1,3.48,19.21,5.09
(V12) (537GA) Chicago Heights,729,723,99.18%,6,0.82%,0,1,673,0,50,0,4,0,2,0,0,0,0,1,2.84,0,3.99
(V12) (537GD) Lakeside,"1,359","1,346",99.04%,13,0.96%,0,1,"1,231",0,115,0,7,0,4,0,1,0,1,1,5.02,,3.02
(V12) (537HA) Auburn Gresham,728,718,98.63%,10,1.37%,0,2,638,1,80,0,7,1,2,0,1,0,0,0,8.38,0,2.09
(V12) (556) Captain James A Lovell FHCC,"19,261","18,999",98.64%,262,1.36%,7,12,"18,056",5,943,5,196,2,44,0,9,0,13,0,2.46,3.94,2.74
"(V12) (556) Captain James A Lovell
FHCC","16,488","16,251",98.56%,237,1.44%,7,11,"15,448",4,803,5,173,2,43,0,8,0,13,0,2.36,3.87,2.52
(V12) (556GA) Evanston,342,335,97.95%,7,2.05%,0,0,328,0,7,0,7,0,0,0,0,0,0,0,1.11,6.97,0.88
(V12) (556GC) McHenry,"1,647","1,640",99.57%,7,0.43%,0,0,"1,536",0,104,0,5,0,1,0,1,0,0,0,3.38,8.44,3.53
(V12) (556GD) Kenosha,784,773,98.60%,11,1.40%,0,1,744,1,29,0,11,0,0,0,0,0,0,0,2.01,1.83,3.48
"(V12) (578) Hines, IL","63,048","57,418",91.07%,"5,630",8.93%,50,22,"52,495",15,"4,923",5,"3,295",1,"1,677",1,511,0,147,0,6.91,12.4,4.2
(V12) (578) Edward Hines Junior Hospital,"50,367","45,490",90.32%,"4,877",9.68%,0,12,"41,470",10,"4,020",1,"2,659",0,"1,597",1,479,0,142,0,8.41,12.98,3.75
(V12) (578GA) Joliet,"5,289","4,907",92.78%,382,7.22%,0,2,"4,478",0,429,1,344,1,30,0,6,0,2,0,4.83,9.01,4.19
(V12) (578GC) Kankakee County,"1,522","1,439",94.55%,83,5.45%,0,2,"1,350",1,89,1,76,0,6,0,0,0,1,0,3.31,6.51,5.38
(V12) (578GD) Aurora,"1,675","1,606",95.88%,69,4.12%,0,2,"1,471",2,135,0,50,0,5,0,12,0,2,0,6.85,6.75,5.76
(V12) (578GE) Hoffman Estates,"1,364","1,263",92.60%,101,7.40%,0,3,"1,198",1,65,2,71,0,17,0,13,0,0,0,6.6,23.75,5.92
(V12) (578GF) LaSalle,"1,260","1,227",97.38%,33,2.62%,0,0,"1,148",0,79,0,28,0,5,0,0,0,0,0,3.8,6.54,2.81
(V12) (578GG) Oak Lawn,"1,571","1,486",94.59%,85,5.41%,0,1,"1,380",1,106,0,67,0,17,0,1,0,0,0,4.62,6.52,7.41
"(V12) (585) Iron Mountain, MI","12,391","12,009",96.92%,382,3.08%,6,27,"11,109",9,900,5,275,9,93,4,10,0,4,0,4.25,6.07,3.22
(V12) (585) Oscar G Johnson VAMC,"8,351","8,066",96.59%,285,3.41%,0,27,"7,335",9,731,5,210,9,63,4,8,0,4,0,7.48,5.69,3.42
(V12) (585GA) Hancock,565,543,96.11%,22,3.89%,0,0,511,0,32,0,13,0,9,0,0,0,0,0,2.82,17.05,3.54
(V12) (585GB) Rhinelander,838,815,97.26%,23,2.74%,0,0,791,0,24,0,15,0,8,0,0,0,0,0,1.7,8.01,2.21
(V12) (585GC) Menominee,579,566,97.75%,13,2.25%,0,0,546,0,20,0,11,0,1,0,1,0,0,0,1.55,11.32,1.43
(V12) (585GD) Ironwood,318,313,98.43%,5,1.57%,0,0,299,0,14,0,3,0,2,0,0,0,0,0,2.45,8.42,2.46
(V12) (585HA) Marquette MI,"1,181","1,153",97.63%,28,2.37%,0,0,"1,095",0,58,0,20,0,8,0,0,0,0,0,1.11,5.55,4.33
(V12) (585HB) Sault Saint Marie,559,553,98.93%,6,1.07%,0,0,532,0,21,0,3,0,2,0,1,0,0,0,1.31,7.17,1.58
"(V12) (607) Madison, WI","33,882","31,563",93.16%,"2,319",6.84%,0,3,"29,167",1,"2,396",0,"1,480",2,577,0,169,0,93,0,5.67,9.29,2.06
"(V12) (607) William S. Middleton
Memorial Veterans Hospital","26,638","24,493",91.95%,"2,145",8.05%,0,3,"22,399",1,"2,094",0,"1,360",2,561,0,153,0,71,0,7.44,9.32,2.37
(V12) (607GC) Janesville,"1,011",987,97.63%,24,2.37%,0,0,950,0,37,0,22,0,1,0,0,0,1,0,4.73,9.08,1.74
(V12) (607GD) Baraboo,494,487,98.58%,7,1.42%,0,0,462,0,25,0,7,0,0,0,0,0,0,0,5.23,3.27,1.06
(V12) (607GE) Beaver Dam,742,734,98.92%,8,1.08%,0,0,699,0,35,0,7,0,0,0,1,0,0,0,3.19,1.68,0.85
(V12) (607GF) Freeport,514,504,98.05%,10,1.95%,0,0,487,0,17,0,7,0,1,0,1,0,1,0,4.53,2,0.49
(V12) (607HA) Rockford,"4,483","4,358",97.21%,125,2.79%,0,0,"4,170",0,188,0,77,0,14,0,14,0,20,0,3.83,9.64,1.58
"(V12) (676) Tomah, WI","16,480","15,761",95.64%,719,4.36%,3,6,"14,955",1,806,0,487,4,158,1,56,0,18,0,2.97,8.33,3.74
(V12) (676) Tomah VAMC,"9,778","9,285",94.96%,493,5.04%,0,6,"8,829",1,456,0,326,4,100,1,51,0,16,0,2.22,8.58,1.63
(V12) (676GA) Wausau,"1,725","1,625",94.20%,100,5.80%,0,0,"1,548",0,77,0,52,0,47,0,0,0,1,0,3.88,0,7.53
(V12) (676GC) River Valley,"2,737","2,706",98.87%,31,1.13%,0,0,"2,616",0,90,0,27,0,1,0,3,0,0,0,3.07,1.7,2.17
(V12) (676GD) Wisconsin Rapids,"2,024","1,932",95.45%,92,4.55%,0,0,"1,752",0,180,0,79,0,10,0,2,0,1,0,3.38,8.37,10.48
(V12) (676GE) Clark County,216,213,98.61%,3,1.39%,0,0,210,0,3,0,3,0,0,0,0,0,0,0,1.74,0,2.29
"(V12) (695) Milwaukee, WI","68,285","63,441",92.91%,"4,844",7.09%,58,30,"57,956",1,"5,485",1,"3,548",1,879,2,250,1,167,24,9.73,7.83,6.33
(V12) (695) Clement J Zablocki VAMC,"49,183","46,485",94.51%,"2,698",5.49%,0,30,"42,827",1,"3,658",1,"1,921",1,505,2,139,1,133,24,4.79,7.74,3.09
(V12) (695BU) VADOM Milwaukee,21,21,100.00%,0,0.00%,0,0,21,0,0,0,0,0,0,0,0,0,0,0,,,
(V12) (695BY) Appleton,"7,342","5,904",80.41%,"1,438",19.59%,0,0,"5,057",0,847,0,"1,130",0,238,0,52,0,18,0,16.22,11.88,16.81
(V12) (695GA) Union Grove WI,"1,132","1,124",99.29%,8,0.71%,0,0,"1,098",0,26,0,7,0,1,0,0,0,0,0,2.72,,1.29
(V12) (695GC) Cleveland,"1,410","1,325",93.97%,85,6.03%,0,0,"1,159",0,166,0,67,0,12,0,4,0,2,0,11.31,24.84,5.64
"(V12) (695GD) Milo C Huempfner VA
OPC","9,197","8,582",93.31%,615,6.69%,0,0,"7,794",0,788,0,423,0,123,0,55,0,14,0,9.35,6.45,8.73
"(V15) (589) Columbia, MO","44,752","42,416",94.78%,"2,336",5.22%,48,34,"40,059",6,"2,357",3,"1,555",21,518,2,106,0,157,2,2.53,9.56,5.03
(V15) (589A4) Harry S. Truman VAMC,"32,146","29,908",93.04%,"2,238",6.96%,0,30,"27,754",6,"2,154",3,"1,488",18,503,1,101,0,146,2,3.31,10.06,6.71
"(V15) (589G8) Jefferson City, MO","2,787","2,746",98.53%,41,1.47%,0,1,"2,700",0,46,0,35,1,3,0,1,0,2,0,1.15,3.76,2.95
(V15) (589GE) Kirksville,997,993,99.60%,4,0.40%,0,0,975,0,18,0,1,0,2,0,1,0,0,0,1.85,69.5,0.98
"(V15) (589GF) Fort Leonard Wood VA
Clinic","1,604","1,584",98.75%,20,1.25%,0,0,"1,531",0,53,0,8,0,6,0,2,0,4,0,1.94,4.68,2.08
(V15) (589GH) Lake of the Ozarks,"1,680","1,668",99.29%,12,0.71%,0,0,"1,643",0,25,0,7,0,4,0,1,0,0,0,2.35,10.43,1.58
(V15) (589GX) Mexico,"1,465","1,462",99.80%,3,0.20%,0,2,"1,444",0,18,0,2,1,0,1,0,0,1,0,3.11,,0.88
(V15) (589GY) St. James,"1,684","1,670",99.17%,14,0.83%,0,0,"1,649",0,21,0,11,0,0,0,0,0,3,0,1.72,,0.33
(V15) (589JA) Sedalia,"1,612","1,611",99.94%,1,0.06%,0,0,"1,608",0,3,0,1,0,0,0,0,0,0,0,0.22,8.75,0.31
(V15) (589JD) Marshfield,777,774,99.61%,3,0.39%,0,1,755,0,19,0,2,1,0,0,0,0,1,0,1.58,4.48,2.88
"(V15) (589) Kansas City, MO","41,042","39,625",96.55%,"1,417",3.45%,52,220,"36,534",91,"3,091",21,759,37,430,38,119,8,109,25,3.66,5.71,4.93
(V15) (589) Kansas City VAMC,"37,916","36,512",96.30%,"1,404",3.70%,0,219,"33,523",91,"2,989",21,756,37,422,38,119,8,107,24,4.15,5.76,5.23
(V15) (589G1) Warrensburg,"1,193","1,185",99.33%,8,0.67%,0,0,"1,140",0,45,0,2,0,5,0,0,0,1,0,2.53,3.78,3.62
(V15) (589GB) Belton,345,342,99.13%,3,0.87%,0,0,337,0,5,0,0,0,3,0,0,0,0,0,0.58,7.48,0
(V15) (589GC) Paola,351,351,100.00%,0,0.00%,0,1,349,0,2,0,0,0,0,0,0,0,0,1,0.37,0,0.44
(V15) (589GD) Nevada,569,568,99.82%,1,0.18%,0,0,555,0,13,0,1,0,0,0,0,0,0,0,2.62,1.04,0.49
(V15) (589GZ) Cameron,119,119,100.00%,0,0.00%,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0.57,1.75,0
"(V15) (589HK) Kansas City VA Mobile
Clinic",113,113,100.00%,0,0.00%,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0.05,,0
(V15) (589JB) Excelsior Springs,422,421,99.76%,1,0.24%,0,0,384,0,37,0,0,0,0,0,0,0,1,0,7.68,2.01,1.38
(V15) (589MC) IDES Whiteman AFB,14,14,100.00%,0,0.00%,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V15) (589) Eastern KS HCS, KS","35,463","33,718",95.08%,"1,745",4.92%,23,170,"32,068",42,"1,650",32,"1,309",29,297,5,84,5,55,57,6.39,6.86,3.49
(V15) (589A5) Colmery-O'Neil VAMC,"17,480","16,603",94.98%,877,5.02%,0,90,"15,708",32,895,15,678,11,134,1,26,1,39,30,9.31,6.23,4.41
"(V15) (589A6) Dwight D. Eisenhower
VAMC","13,440","12,697",94.47%,743,5.53%,0,79,"12,138",10,559,16,531,18,141,4,57,4,14,27,3.92,7.81,1.21
(V15) (589BU) Leavenworth DCHV,"1,459","1,452",99.52%,7,0.48%,0,1,"1,428",0,24,1,5,0,1,0,1,0,0,0,,,1.4
(V15) (589G9) Ft. Riley,63,63,100.00%,0,0.00%,0,0,63,0,0,0,0,0,0,0,0,0,0,0,,0,0
(V15) (589GI) St. Joseph,771,762,98.83%,9,1.17%,0,0,739,0,23,0,6,0,3,0,0,0,0,0,1.27,0.92,4.98
(V15) (589GJ) Wyandotte County,694,678,97.69%,16,2.31%,0,0,653,0,25,0,15,0,1,0,0,0,0,0,5.12,0,2.07
(V15) (589GM) Chanute,167,140,83.83%,27,16.17%,0,0,121,0,19,0,16,0,11,0,0,0,0,0,14.55,,6.77
