"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
(V12) (607GD) Baraboo,558,558,100.00%,0,0.00%,515,31,12,0,0,0,0,2.39,1.23,0.34
(V12) (607GE) Beaver Dam,783,780,99.62%,3,0.38%,739,29,12,3,0,0,0,2.34,0.86,0.14
(V12) (607HA) Rockford,"4,369","4,295",98.31%,74,1.69%,"3,841",268,186,73,1,0,0,3.45,6.41,1.4
"(V12) (676) Tomah, WI","17,199","17,003",98.86%,196,1.14%,"15,571",698,734,159,35,2,0,1.71,5.58,1.78
(V12) (676) Tomah VAMC,"11,444","11,320",98.92%,124,1.08%,"10,400",424,496,95,28,1,0,1.56,5.34,1.21
(V12) (676GA) Wausau,"1,458","1,454",99.73%,4,0.27%,"1,350",70,34,4,0,0,0,1.73,0,2.3
(V12) (676GC) River Valley,"1,884","1,880",99.79%,4,0.21%,"1,698",109,73,4,0,0,0,2.11,3.78,1.75
(V12) (676GD) Wisconsin Rapids,"2,139","2,075",97.01%,64,2.99%,"1,856",92,127,56,7,1,0,1.67,8.45,3.46
(V12) (676GE) Clark County,274,274,100.00%,0,0.00%,267,3,4,0,0,0,0,1.26,0.06,0.45
"(V12) (695) Milwaukee, WI","59,249","56,955",96.13%,"2,294",3.87%,"49,102","3,528","4,325","1,789",388,82,35,5.67,6.95,4.08
"(V12) (695) Clement J Zablocki
VAMC","40,435","39,316",97.23%,"1,119",2.77%,"33,935","2,518","2,863",911,140,44,24,4.04,6.41,2.66
(V12) (695BU) VADOM Milwaukee,77,77,100.00%,0,0.00%,77,0,0,0,0,0,0,,,
(V12) (695BY) Appleton,"6,369","5,789",90.89%,580,9.11%,"4,992",337,460,399,155,21,5,7.86,13.86,8.96
(V12) (695GA) Union Grove WI,"1,072","1,067",99.53%,5,0.47%,"1,005",38,24,4,0,1,0,2.19,1.77,0.48
(V12) (695GC) Cleveland,"1,308","1,249",95.49%,59,4.51%,"1,006",95,148,52,5,2,0,10.25,26.5,4.97
"(V12) (695GD) Milo C Huempfner VA
OPC","9,988","9,457",94.68%,531,5.32%,"8,087",540,830,423,88,14,6,7.51,6.64,5.29
"(V15) (589) Columbia, MO","26,827","26,098",97.28%,729,2.72%,"22,915","1,695","1,488",610,87,15,17,1.84,6.66,2
"(V15) (589A4) Harry S. Truman
VAMC","20,427","19,702",96.45%,725,3.55%,"17,024","1,299","1,379",607,86,15,17,2.51,7.14,2.43
"(V15) (589G8) Jefferson City, MO","1,446","1,445",99.93%,1,0.07%,"1,321",113,11,0,1,0,0,0.82,2.99,1.37
(V15) (589GE) Kirksville,515,515,100.00%,0,0.00%,481,29,5,0,0,0,0,1.51,,0.64
"(V15) (589GF) Fort Leonard Wood
VA Clinic","1,559","1,559",100.00%,0,0.00%,"1,376",142,41,0,0,0,0,0.6,3.98,1.75
(V15) (589GH) Lake of the Ozarks,717,717,100.00%,0,0.00%,651,42,24,0,0,0,0,2.15,0,2
(V15) (589GX) Mexico,418,418,100.00%,0,0.00%,375,37,6,0,0,0,0,2.66,0,0.5
(V15) (589GY) St. James,386,386,100.00%,0,0.00%,372,9,5,0,0,0,0,0.66,,0.59
(V15) (589JA) Sedalia,666,666,100.00%,0,0.00%,656,9,1,0,0,0,0,0.31,,0.12
(V15) (589JD) Marshfield,688,685,99.56%,3,0.44%,654,15,16,3,0,0,0,1.46,1.71,1.58
"(V15) (589ME) IDES Fort Leonard
Wood",5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,0.75,0
"(V15) (589) Kansas City, MO","32,097","31,385",97.78%,712,2.22%,"27,655","1,710","2,020",531,133,44,4,2.5,4.74,2.88
(V15) (589) Kansas City VAMC,"28,813","28,101",97.53%,712,2.47%,"24,566","1,566","1,969",531,133,44,4,3.06,4.88,3.25
(V15) (589G1) Warrensburg,"1,103","1,103",100.00%,0,0.00%,"1,040",53,10,0,0,0,0,0.88,1.56,1.38
(V15) (589GB) Belton,389,389,100.00%,0,0.00%,383,4,2,0,0,0,0,0.36,0,0.03
(V15) (589GC) Paola,286,286,100.00%,0,0.00%,284,1,1,0,0,0,0,0.08,0,0.42
(V15) (589GD) Nevada,628,628,100.00%,0,0.00%,582,37,9,0,0,0,0,2.02,1.17,0.46
(V15) (589GZ) Cameron,173,173,100.00%,0,0.00%,173,0,0,0,0,0,0,0.12,,0
"(V15) (589HK) Kansas City VA
Mobile Clinic",136,136,100.00%,0,0.00%,135,1,0,0,0,0,0,0.1,,
(V15) (589JB) Excelsior Springs,541,541,100.00%,0,0.00%,464,48,29,0,0,0,0,4.4,0,0.75
(V15) (589MC) IDES Whiteman AFB,28,28,100.00%,0,0.00%,28,0,0,0,0,0,0,,0,0
"(V15) (589) Eastern KS HCS, KS","32,295","31,506",97.56%,789,2.44%,"28,907","1,126","1,473",629,105,30,25,5.74,4.32,1.23
(V15) (589A5) Colmery-O'Neil VAMC,"15,581","15,175",97.39%,406,2.61%,"13,552",712,911,335,42,12,17,9.42,3.67,1.42
"(V15) (589A6) Dwight D. Eisenhower
VAMC","11,995","11,672",97.31%,323,2.69%,"10,864",345,463,250,57,13,3,1.61,5.47,0.83
(V15) (589BU) Leavenworth DCHV,"1,632","1,630",99.88%,2,0.12%,"1,606",20,4,2,0,0,0,,,0.59
(V15) (589G9) Ft. Riley,89,89,100.00%,0,0.00%,89,0,0,0,0,0,0,,0,0
(V15) (589GI) St. Joseph,"1,099","1,093",99.45%,6,0.55%,"1,074",11,8,6,0,0,0,0.78,0.25,1.65
(V15) (589GJ) Wyandotte County,310,298,96.13%,12,3.87%,267,6,25,12,0,0,0,8.94,0,0.9
(V15) (589GM) Chanute,85,68,80.00%,17,20.00%,52,3,13,13,1,2,1,22.44,,7.32
(V15) (589GN) Emporia,40,40,100.00%,0,0.00%,29,6,5,0,0,0,0,5.19,,8.44
(V15) (589GP) Garnett,52,46,88.46%,6,11.54%,33,5,8,1,1,1,3,21.23,,5.25
(V15) (589GR) Junction City,727,726,99.86%,1,0.14%,718,2,6,1,0,0,0,0.41,0,0.21
(V15) (589GU) Lawrence,264,264,100.00%,0,0.00%,262,2,0,0,0,0,0,0.34,0.5,0
(V15) (589GV) Ft. Scott,159,145,91.19%,14,8.81%,109,10,26,7,4,2,1,27.27,0,5.75
(V15) (589JE) Platte City,92,90,97.83%,2,2.17%,83,3,4,2,0,0,0,3.55,,0
(V15) (589MA) Ft. Riley DES Clinic,160,160,100.00%,0,0.00%,159,1,0,0,0,0,0,,0.1,0
"(V15) (589MD) IDES Fort
Leavenworth",10,10,100.00%,0,0.00%,10,0,0,0,0,0,0,,0,
"(V15) (589) Wichita, KS","19,997","19,639",98.21%,358,1.79%,"18,097",825,717,282,58,14,4,1.51,5.15,0.99
(V15) (589A7) Robert J. Dole VAMC,"17,321","16,970",97.97%,351,2.03%,"15,512",767,691,276,57,14,4,1.57,5.37,1.19
(V15) (589G2) Dodge City,331,331,100.00%,0,0.00%,324,4,3,0,0,0,0,0.98,0,0
(V15) (589G3) Liberal,71,71,100.00%,0,0.00%,65,4,2,0,0,0,0,2.33,0,0
(V15) (589G4) Hays,407,407,100.00%,0,0.00%,382,17,8,0,0,0,0,1.89,1.14,0
(V15) (589G5) Parsons,408,407,99.75%,1,0.25%,395,10,2,0,1,0,0,1.43,1.75,0.04
(V15) (589G7) Hutchinson,553,553,100.00%,0,0.00%,543,9,1,0,0,0,0,0.75,0,0.3
(V15) (589GW) Salina,876,870,99.32%,6,0.68%,846,14,10,6,0,0,0,1.58,0.34,0.56
(V15) (589MB) IDES McConnel AFB,30,30,100.00%,0,0.00%,30,0,0,0,0,0,0,,0,0
"(V15) (657) Marion, IL","26,110","24,718",94.67%,"1,392",5.33%,"20,529","1,959","2,230",898,338,126,30,10.07,7.59,3.2
(V15) (657A5) Marion VAMC,"11,752","11,332",96.43%,420,3.57%,"9,384",834,"1,114",306,100,12,2,10.24,7.12,2.06
(V15) (657GJ) Evansville,"7,738","6,968",90.05%,770,9.95%,"5,575",629,764,445,205,97,23,20.08,8.66,4.7
(V15) (657GK) Mt. Vernon,562,495,88.08%,67,11.92%,460,20,15,41,11,13,2,21.06,1.33,0.49
(V15) (657GL) Paducah,"1,441","1,412",97.99%,29,2.01%,"1,246",101,65,27,2,0,0,2.63,2.92,6.01
(V15) (657GM) Effingham,863,858,99.42%,5,0.58%,774,46,38,5,0,0,0,2.05,0.18,4.28
(V15) (657GO) Hanson,215,211,98.14%,4,1.86%,186,17,8,3,1,0,0,2.63,4.83,5.5
(V15) (657GP) Owensboro,"1,144","1,138",99.48%,6,0.52%,975,112,51,6,0,0,0,3.79,2,0.94
(V15) (657GQ) Vincennes,511,471,92.17%,40,7.83%,374,44,53,23,12,4,1,12.33,,2.35
(V15) (657GR) Mayfield,771,723,93.77%,48,6.23%,622,57,44,41,7,0,0,7.39,2.53,3.87
(V15) (657GT) Carbondale,704,701,99.57%,3,0.43%,559,76,66,1,0,0,2,5.28,1.23,0.86
(V15) (657GU) Harrisburg,409,409,100.00%,0,0.00%,374,23,12,0,0,0,0,2.3,3.73,0
"(V15) (657) Poplar Bluff, MO","14,244","14,059",98.70%,185,1.30%,"12,573",802,684,148,23,13,1,2.95,5.64,2.82
"(V15) (657A4) John J. Pershing
VAMC","8,714","8,559",98.22%,155,1.78%,"7,531",539,489,120,21,13,1,4.37,5.77,2.57
(V15) (657GF) West Plains,"1,342","1,333",99.33%,9,0.67%,"1,251",44,38,9,0,0,0,0.99,5.35,4.03
(V15) (657GG) Paragould,775,772,99.61%,3,0.39%,720,24,28,3,0,0,0,2.65,0,1.23
(V15) (657GH) Cape Girardeau,"1,304","1,296",99.39%,8,0.61%,"1,175",77,44,7,1,0,0,2.12,6.04,3.95
(V15) (657GI) Farmington,"1,334","1,330",99.70%,4,0.30%,"1,198",82,50,4,0,0,0,2.5,3.73,2.87
(V15) (657GN) Salem,16,16,100.00%,0,0.00%,15,0,1,0,0,0,0,1.75,,
(V15) (657GV) Sikeston,759,753,99.21%,6,0.79%,683,36,34,5,1,0,0,2.98,1.59,3.2
"(V15) (657) St. Louis, MO","42,257","41,346",97.84%,911,2.16%,"34,402","3,653","3,291",737,134,30,10,6.44,5.62,3.52
(V15) (657) John J. Cochran VAMC,"27,222","26,593",97.69%,629,2.31%,"21,901","2,501","2,191",536,69,18,6,6.96,5.47,3.58
(V15) (657A0) St Louis-Jeff Bks.,"12,368","12,141",98.16%,227,1.84%,"10,390",902,849,150,61,12,4,6.61,6.26,3.48
(V15) (657GA) Belleville,816,781,95.71%,35,4.29%,526,96,159,32,3,0,0,7.62,0.5,9.37
(V15) (657GB) St. Louis County,774,763,98.58%,11,1.42%,645,87,31,11,0,0,0,3.6,11.15,2.64
(V15) (657GD) St. Charles,695,689,99.14%,6,0.86%,611,27,51,6,0,0,0,3.43,8.9,3.04
(V15) (657GS) Washington,365,362,99.18%,3,0.82%,312,40,10,2,1,0,0,3.35,2.9,1.18
(V15) (657MA) IDES Scott AFB,17,17,100.00%,0,0.00%,17,0,0,0,0,0,0,,0,0
"(V16) (502) Alexandria, LA","21,473","20,629",96.07%,844,3.93%,"18,219","1,155","1,255",526,176,77,65,8.09,6.31,3.99
(V16) (502) Alexandria VAMC,"15,503","14,868",95.90%,635,4.10%,"13,606",581,681,374,134,65,62,10.5,6.4,1.81
(V16) (502GA) Jennings,876,869,99.20%,7,0.80%,772,55,42,5,2,0,0,2.07,0.6,4.38
(V16) (502GB) Lafayette,"2,919","2,762",94.62%,157,5.38%,"2,019",361,382,114,35,5,3,8.94,6.39,6.48
(V16) (502GE) Lake Charles,467,453,97.00%,14,3.00%,349,75,29,5,2,7,0,5.98,,
(V16) (502GF) Fort Polk,"1,203","1,172",97.42%,31,2.58%,"1,014",77,81,28,3,0,0,2.45,0.19,8.88
(V16) (502GG) Natchitoches,505,505,100.00%,0,0.00%,459,6,40,0,0,0,0,4.8,0,0.94
"(V16) (520) Gulf Coast HCS, MS","52,969","51,591",97.40%,"1,378",2.60%,"45,320","3,067","3,204","1,011",284,66,17,5.54,4.92,5.42
(V16) (520) Biloxi VAMC,"25,227","24,764",98.16%,463,1.84%,"22,431","1,206","1,127",259,142,53,9,6.23,3.67,7.67
(V16) (520BZ) Pensacola,"16,496","15,821",95.91%,675,4.09%,"13,119","1,106","1,596",560,100,7,8,6.66,6.84,4.66
(V16) (520GA) Mobile,"5,700","5,622",98.63%,78,1.37%,"5,182",289,151,58,14,6,0,3.85,3.27,1.32
(V16) (520GB) Panama City Beach,"2,702","2,629",97.30%,73,2.70%,"2,184",259,186,73,0,0,0,5.86,0.56,6.71
(V16) (520GC) Eglin AFB,"2,844","2,755",96.87%,89,3.13%,"2,404",207,144,61,28,0,0,3.58,2.3,12.63
"(V16) (564) Fayetteville, AR","35,956","35,246",98.03%,710,1.97%,"31,357","1,985","1,904",588,112,6,4,2.33,5.16,1.94
(V16) (564) Fayetteville VAMC,"19,923","19,314",96.94%,609,3.06%,"16,536","1,299","1,479",513,87,5,4,3.27,6.21,3.47
(V16) (564BY) Gene Taylor,"7,821","7,754",99.14%,67,0.86%,"7,051",435,268,44,22,1,0,2.01,4.3,0.81
(V16) (564GA) Harrison,305,299,98.03%,6,1.97%,273,20,6,6,0,0,0,3.15,0,1.52
(V16) (564GB) Fort Smith,"3,843","3,817",99.32%,26,0.68%,"3,551",155,111,23,3,0,0,2.34,4.18,1.56
(V16) (564GC) Branson,"3,050","3,048",99.93%,2,0.07%,"2,981",40,27,2,0,0,0,0.78,0.3,0.4
(V16) (564GD) Ozark,292,292,100.00%,0,0.00%,281,5,6,0,0,0,0,0.78,6.2,0
(V16) (564GE) Jay,722,722,100.00%,0,0.00%,684,31,7,0,0,0,0,1.56,0,0.61
"(V16) (580) Houston, TX","84,275","83,134",98.65%,"1,141",1.35%,"74,784","4,280","4,070","1,004",124,11,2,3.06,3.58,2.17
"(V16) (580) Michael E DeBakey
VAMC","56,453","55,648",98.57%,805,1.43%,"50,274","2,653","2,721",687,107,10,1,3.59,3.43,1.66
(V16) (580BY) Beaumont,"4,347","4,341",99.86%,6,0.14%,"4,067",135,139,5,1,0,0,1.47,3.84,0.21
"(V16) (580BZ) Charles Wilson VA
OPC","2,983","2,905",97.39%,78,2.61%,"2,382",289,234,71,6,0,1,5.21,9.46,2.58
(V16) (580GC) Galveston County,"3,833","3,713",96.87%,120,3.13%,"3,281",193,239,116,4,0,0,3.53,5.53,4.92
(V16) (580GD) Conroe,"4,493","4,438",98.78%,55,1.22%,"3,981",279,178,51,3,1,0,2.36,2.77,3.78
(V16) (580GE) Katy,"3,913","3,895",99.54%,18,0.46%,"3,327",297,271,18,0,0,0,2.58,6.05,2.06
(V16) (580GF) Lake Jackson,"1,160","1,159",99.91%,1,0.09%,"1,050",77,32,1,0,0,0,1.93,,3.41
(V16) (580GG) Richmond,"2,442","2,430",99.51%,12,0.49%,"2,170",152,108,12,0,0,0,3.22,2.78,2.03
(V16) (580GH) Tomball,"4,651","4,605",99.01%,46,0.99%,"4,252",205,148,43,3,0,0,2.16,1.63,2.14
"(V16) (586) Jackson, MS","31,538","30,874",97.89%,664,2.11%,"28,245","1,466","1,163",441,111,104,8,4.64,4.46,0.34
"(V16) (586) G. V. (Sonny)
Montgomery VAMC","26,933","26,279",97.57%,654,2.43%,"24,280","1,047",952,432,111,104,7,5.54,4.47,0.42
(V16) (586GA) Durant (Kosciusko),543,543,100.00%,0,0.00%,484,49,10,0,0,0,0,2.44,0,0.9
(V16) (586GB) Meridian,771,768,99.61%,3,0.39%,623,92,53,2,0,0,1,4.85,0,0
(V16) (586GC) Greenville,402,402,100.00%,0,0.00%,294,87,21,0,0,0,0,5.13,0,0
(V16) (586GD) Hattiesburg,"1,511","1,506",99.67%,5,0.33%,"1,340",89,77,5,0,0,0,3.52,0,0.07
"(V16) (586GE) Natchez (Adams
County)",392,391,99.74%,1,0.26%,340,34,17,1,0,0,0,3.2,0,0
(V16) (586GF) Columbus,558,558,100.00%,0,0.00%,536,16,6,0,0,0,0,0.89,0,0.02
(V16) (586GG) McComb,428,427,99.77%,1,0.23%,348,52,27,1,0,0,0,3.94,0,0
"(V16) (598) Little Rock, AR","49,671","47,911",96.46%,"1,760",3.54%,"41,876","2,858","3,177","1,422",277,49,12,4.81,7.09,2.28
"(V16) (598) John L McClellan
Memorial Veterans Hospital","19,115","18,294",95.70%,821,4.30%,"15,940",992,"1,362",573,222,17,9,1.75,7.15,0
"(V16) (598A0) Central AR. Veterans
HCS NLR","21,438","20,835",97.19%,603,2.81%,"18,330","1,175","1,330",538,33,30,2,5.14,6.6,2.08
(V16) (598GA) Mountain Home,785,785,100.00%,0,0.00%,689,70,26,0,0,0,0,2.42,0,2.56
(V16) (598GB) El Dorado,"1,017","1,000",98.33%,17,1.67%,820,96,84,17,0,0,0,7.89,0,2.88
(V16) (598GC) Hot Springs,"1,779","1,776",99.83%,3,0.17%,"1,512",170,94,2,0,1,0,2.22,6.91,3.6
(V16) (598GD) Mena,512,512,100.00%,0,0.00%,500,7,5,0,0,0,0,0.24,0,1.91
(V16) (598GE) Pine Bluff,809,800,98.89%,9,1.11%,680,90,30,9,0,0,0,5.29,0,5.21
(V16) (598GF) Searcy,"1,162","1,153",99.23%,9,0.77%,"1,043",68,42,9,0,0,0,3.89,0,0.73
(V16) (598GG) Conway,"2,183","1,886",86.39%,297,13.61%,"1,497",186,203,274,21,1,1,12.63,13.75,3.39
(V16) (598GH) Russellville,871,870,99.89%,1,0.11%,865,4,1,0,1,0,0,0.36,0.11,0.37
"(V16) (623) Muskogee, OK","24,452","23,253",95.10%,"1,199",4.90%,"19,851","1,588","1,814","1,062",96,20,21,4.21,7.01,5.2
"(V16) (623) Jack C Montgomery
VAMC","13,133","12,462",94.89%,671,5.11%,"10,585",891,986,591,57,11,12,5.88,6.57,2.33
(V16) (623BY) Tulsa,"9,890","9,363",94.67%,527,5.33%,"7,882",674,807,470,39,9,9,3.92,7.87,9.11
(V16) (623GA) Hartshorne,633,632,99.84%,1,0.16%,612,10,10,1,0,0,0,0.5,2,1.07
(V16) (623GB) Vinita,796,796,100.00%,0,0.00%,772,13,11,0,0,0,0,0.88,1.45,0.9
"(V16) (629) New Orleans, LA","39,124","38,003",97.13%,"1,121",2.87%,"32,489","2,794","2,720",890,228,3,0,5.05,6.73,2.32
(V16) (629) New Orleans VAMC,"25,365","24,549",96.78%,816,3.22%,"20,759","1,812","1,978",621,192,3,0,5.9,7.17,1.81
(V16) (629BY) Baton Rouge,"6,899","6,718",97.38%,181,2.62%,"5,789",525,404,161,20,0,0,3.61,6.3,2.56
(V16) (629GA) Houma,"1,383","1,335",96.53%,48,3.47%,"1,122",98,115,48,0,0,0,7.29,1.45,5.78
(V16) (629GB) Hammond,"1,852","1,818",98.16%,34,1.84%,"1,599",110,109,30,4,0,0,4.4,5.88,0.35
(V16) (629GC) Slidell,"2,010","1,991",99.05%,19,0.95%,"1,808",124,59,7,12,0,0,4.74,2.05,0.8
(V16) (629GD) St. John,763,762,99.87%,1,0.13%,656,86,20,1,0,0,0,3.88,2.45,3.78
(V16) (629GE) Franklin,379,360,94.99%,19,5.01%,324,16,20,19,0,0,0,12.86,0,5.62
(V16) (629GF) Bogalusa,473,470,99.37%,3,0.63%,432,23,15,3,0,0,0,3.13,0,4.53
"(V16) (635) Oklahoma City, OK","45,536","44,116",96.88%,"1,420",3.12%,"40,065","1,931","2,120","1,024",337,39,20,2.99,7.75,1.82
(V16) (635) Oklahoma City VAMC,"36,718","35,345",96.26%,"1,373",3.74%,"32,248","1,477","1,620",982,332,39,20,3.26,7.8,1.99
(V16) (635GA) Lawton,"3,201","3,174",99.16%,27,0.84%,"2,639",216,319,24,3,0,0,4.72,8.43,1.73
(V16) (635GB) Wichita Falls,981,981,100.00%,0,0.00%,911,44,26,0,0,0,0,1.64,3.15,1.81
(V16) (635GC) Blackwell,150,149,99.33%,1,0.67%,148,0,1,1,0,0,0,0,30,0
(V16) (635GD) Ada,421,421,100.00%,0,0.00%,416,4,1,0,0,0,0,0.09,3.14,0.83
(V16) (635GE) Stillwater,443,440,99.32%,3,0.68%,410,22,8,2,1,0,0,1.48,2.38,0.52
(V16) (635GF) Altus,135,134,99.26%,1,0.74%,123,7,4,1,0,0,0,1.04,6.2,2.15
(V16) (635GG) Enid,258,257,99.61%,1,0.39%,252,3,2,1,0,0,0,0.21,12.83,0.48
(V16) (635HB) Ardmore,499,496,99.40%,3,0.60%,488,6,2,2,1,0,0,0.49,4,1.23
(V16) (635QB) South Oklahoma City,"2,730","2,719",99.60%,11,0.40%,"2,430",152,137,11,0,0,0,3.39,0.49,0.61
"(V16) (667) Shreveport, LA","24,103","23,527",97.61%,576,2.39%,"20,757","1,676","1,094",492,70,13,1,5.27,4,2.46
(V16) (667) Overton Brooks VAMC,"18,684","18,187",97.34%,497,2.66%,"16,020","1,363",804,415,68,13,1,6.41,4.38,2.32
(V16) (667GA) Texarkana,"1,952","1,899",97.28%,53,2.72%,"1,644",116,139,52,1,0,0,5.93,1.02,2.03
(V16) (667GB) Monroe,"1,773","1,756",99.04%,17,0.96%,"1,604",74,78,16,1,0,0,3.21,0.18,0
(V16) (667GC) Longview,"1,674","1,665",99.46%,9,0.54%,"1,469",123,73,9,0,0,0,2.68,0.87,4.93
(V16) (667MA) IDES Barksdale AFB,20,20,100.00%,0,0.00%,20,0,0,0,0,0,0,,0,0
"(V17) (549) Dallas, TX","84,521","83,287",98.54%,"1,234",1.46%,"74,941","4,531","3,815","1,080",143,9,2,4.68,3.03,1.34
(V17) (549) Dallas VAMC,"55,091","54,295",98.56%,796,1.44%,"49,974","2,077","2,244",687,99,8,2,5.34,2.95,0.34
"(V17) (549A4) Sam Rayburn
Memorial Veterans Center","8,052","8,012",99.50%,40,0.50%,"7,187",397,428,38,2,0,0,2.9,2.91,1.86
(V17) (549BY) Fort Worth VA Clinic,"15,602","15,344",98.35%,258,1.65%,"13,150","1,438",756,226,31,1,0,3.75,3.54,2.73
(V17) (549GA) Tyler,772,771,99.87%,1,0.13%,719,38,14,1,0,0,0,,1.79,2.18
(V17) (549GD) Denton,"1,637","1,582",96.64%,55,3.36%,"1,265",237,80,53,2,0,0,6.94,1.8,1.22
(V17) (549GE) Bridgeport,397,396,99.75%,1,0.25%,371,21,4,1,0,0,0,2.07,0.25,3.32
(V17) (549GF) Granbury,341,317,92.96%,24,7.04%,183,67,67,23,1,0,0,9.91,,
(V17) (549GH) Greenville,493,493,100.00%,0,0.00%,461,26,6,0,0,0,0,2.27,0,3.7
(V17) (549GJ) Sherman,"1,017","1,016",99.90%,1,0.10%,735,124,157,1,0,0,0,6.07,1.75,3.24
(V17) (549GL) Plano,23,23,100.00%,0,0.00%,23,0,0,0,0,0,0,0,,
(V17) (549QA) Dallas VA Clinic,5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,,
(V17) (549QC) Broadway,"1,091","1,033",94.68%,58,5.32%,868,106,59,50,8,0,0,5.14,0,
"(V17) (671) San Antonio, TX","61,639","58,358",94.68%,"3,281",5.32%,"50,817","3,199","4,342","2,543",556,134,48,6.45,7.34,2.54
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital","42,957","40,540",94.37%,"2,417",5.63%,"35,439","2,009","3,092","1,839",426,113,39,6.44,7.26,2.04
(V17) (671A4) Kerrville VAMC,"3,802","3,580",94.16%,222,5.84%,"3,076",215,289,156,54,10,2,5.79,8.37,2.73
"(V17) (671BU) San Antonio
Domiciliary",554,554,100.00%,0,0.00%,496,42,16,0,0,0,0,,,0.94
"(V17) (671BY) Frank M Tejeda VA
OPC","7,621","7,299",95.77%,322,4.23%,"6,482",390,427,309,13,0,0,5.88,9.08,2.7
(V17) (671GB) Victoria,"1,039",995,95.77%,44,4.23%,848,73,74,40,4,0,0,6,2.74,4.16
(V17) (671GF) South Bexar County,"1,185","1,086",91.65%,99,8.35%,924,90,72,78,12,5,4,9.86,,2.1
(V17) (671GH) Beeville,153,153,100.00%,0,0.00%,152,0,1,0,0,0,0,0.11,,
(V17) (671GK) San Antonio,"1,459","1,449",99.31%,10,0.69%,"1,189",163,97,10,0,0,0,3.6,,
"(V17) (671GL) New Braunfels VA
Clinic",325,310,95.38%,15,4.62%,236,17,57,15,0,0,0,6.83,,
(V17) (671GN) Seguin,152,151,99.34%,1,0.66%,135,11,5,1,0,0,0,2.51,,
"(V17) (671GO) North Central Federal
VA Clinic","2,392","2,241",93.69%,151,6.31%,"1,840",189,212,95,47,6,3,10.5,3.38,4.06
"(V17) (674) Temple, TX","73,614","70,559",95.85%,"3,055",4.15%,"59,810","4,953","5,796","2,612",267,105,71,9.95,5.57,3.93
"(V17) (674) Olin E Teague Veterans
Center","40,791","39,064",95.77%,"1,727",4.23%,"33,160","2,692","3,212","1,554",135,23,15,11.9,5.36,5.05
(V17) (674A4) Doris Miller VAMC,"8,285","8,162",98.52%,123,1.48%,"7,077",610,475,117,2,4,0,6.86,2.71,2.08
(V17) (674BY) Austin,"18,509","17,405",94.04%,"1,104",5.96%,"14,725","1,079","1,601",843,127,78,56,13.56,7.15,2.27
(V17) (674GA) Palestine,985,983,99.80%,2,0.20%,847,104,32,1,1,0,0,3.83,7.06,2.21
(V17) (674GB) Brownwood,"1,318","1,309",99.32%,9,0.68%,"1,183",84,42,9,0,0,0,2.09,1.72,5.44
(V17) (674GC) Bryan,"1,882","1,830",97.24%,52,2.76%,"1,419",199,212,50,2,0,0,6.3,4.79,10.53
(V17) (674GD) Cedar Park,"1,588","1,551",97.67%,37,2.33%,"1,191",142,218,37,0,0,0,7.75,5.56,2.26
(V17) (674HB) LaGrange,256,255,99.61%,1,0.39%,208,43,4,1,0,0,0,3.68,8,8.22
(V17) (740) VA Texas Valley Coastal Bend HCS,"21,969","20,830",94.82%,"1,139",5.18%,"18,389","1,198","1,243",656,279,80,124,5.01,13.11,2.15
(V17) (740) Harlingen VA Clinic,"4,232","3,679",86.93%,553,13.07%,"3,112",260,307,306,116,44,87,15.45,16.39,3.48
(V17) (740GA) Harlingen,"4,470","4,257",95.23%,213,4.77%,"3,832",152,273,144,36,22,11,4.46,11.37,1.61
(V17) (740GB) McAllen,"5,593","5,552",99.27%,41,0.73%,"5,049",312,191,33,6,1,1,2.38,5.4,2.22
(V17) (740GC) Corpus Christi,"5,755","5,428",94.32%,327,5.68%,"4,602",389,437,170,120,12,25,7.09,12.57,2.35
(V17) (740GD) Laredo,"1,919","1,914",99.74%,5,0.26%,"1,794",85,35,3,1,1,0,1.56,2.52,1.51
(V18) (501) New Mexico HCS,"38,465","37,349",97.10%,"1,116",2.90%,"32,869","2,282","2,198",749,336,18,13,3.92,5.48,4.64
"(V18) (501) Raymond G Murphy
VAMC","29,748","28,769",96.71%,979,3.29%,"25,131","1,790","1,848",634,317,18,10,5.77,5.31,4.94
(V18) (501G2) Las Vegas,805,791,98.26%,14,1.74%,684,73,34,14,0,0,0,2.94,0.63,4.3
(V18) (501GA) Artesia,742,738,99.46%,4,0.54%,695,23,20,3,1,0,0,0.83,0,7.48
(V18) (501GB) Farmington,952,935,98.21%,17,1.79%,785,75,75,15,2,0,0,4.98,0,4.09
(V18) (501GC) Silver City,534,534,100.00%,0,0.00%,469,51,14,0,0,0,0,2.22,0,7.67
