"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"",(V15) (589GX) Mexico,466,458,98.28%,8,1.72%,,448,10,8,0,0,0,,2.64,,0.84
"",(V15) (589GY) St. James,425,425,100.00%,0,0.00%,,423,2,0,0,0,0,,0.44,,1.42
"",(V15) (589JA) Sedalia,642,642,100.00%,0,0.00%,,641,1,0,0,0,0,,0.64,,0.53
"",(V15) (589JD) Marshfield,214,181,84.58%,33,15.42%,,178,3,13,20,0,0,,11.21,,
"",(V15) (589ME) IDES Fort Leonard Wood,4,4,100.00%,0,0.00%,,4,0,0,0,0,0,,,,
"(V15) (589) Kansas City, MO","29,310","28,654",97.76%,656,2.24%,,"27,924",730,468,174,11,3,,1.49,3.55,1.25,
"",(V15) (589) Kansas City,"26,658","26,003",97.54%,655,2.46%,,"25,297",706,467,174,11,3,,1.67,3.56,1.32
"(V15) (589G1) Warrensburg",509,509,100.00%,0,0.00%,,507,2,0,0,0,0,,0.92,,1.08,
"(V15) (589GB) Belton",423,423,100.00%,0,0.00%,,418,5,0,0,0,0,,1.01,,0.25,
"(V15) (589GC) Louisburg-Paola",363,362,99.72%,1,0.28%,,360,2,1,0,0,0,,0.39,,0.19,
"(V15) (589GD) Nevada",596,596,100.00%,0,0.00%,,590,6,0,0,0,0,,1.09,,1.46,
"(V15) (589GZ) Cameron",186,186,100.00%,0,0.00%,,186,0,0,0,0,0,,0.94,,0.00,
"(V15) (589HK) MOC Kansas City Mobile Medical Unit",104,104,100.00%,0,0.00%,,102,2,0,0,0,0,,1.67,,0.00,
"(V15) (589JB) Excelsior Springs",454,454,100.00%,0,0.00%,,447,7,0,0,0,0,,2.06,0.55,0.95,
"(V15) (589MC) IDES Whiteman AFB",17,17,100.00%,0,0.00%,,17,0,0,0,0,0,,,,,
"(V15) (589) Eastern KS HCS, KS","31,391","31,021",98.82%,370,1.18%,,"30,540",481,330,38,2,0,,1.17,2.65,0.71,
"(V15) (589A5) Eastern KS HCS Topeka Div","14,754","14,514",98.37%,240,1.63%,,"14,184",330,205,34,1,0,,1.16,3.29,0.75,
"(V15) (589A6) Eastern KS HCS Leavenworth Div","11,192","11,082",99.02%,110,0.98%,,"10,968",114,105,4,1,0,,1.07,1.99,0.29,
"(V15) (589BU) Leavenworth DCHV","2,896","2,890",99.79%,6,0.21%,,"2,881",9,6,0,0,0,,,,,
"(V15) (589G9) Ft. Riley, KS",27,27,100.00%,0,0.00%,,27,0,0,0,0,0,,,,,
"",(V15) (589GI) St. Joseph,834,833,99.88%,1,0.12%,,831,2,1,0,0,0,,0.87,1.12,0.15
"",(V15) (589GJ) Wyandotte Co,381,380,99.74%,1,0.26%,,371,9,1,0,0,0,,2.34,0.00,3.76
"",(V15) (589GM) Chanute,94,89,94.68%,5,5.32%,,85,4,5,0,0,0,,4.31,,7.94
"",(V15) (589GN) Emporia,48,43,89.58%,5,10.42%,,42,1,5,0,0,0,,4.33,,22.20
"",(V15) (589GP) Garnett,42,42,100.00%,0,0.00%,,37,5,0,0,0,0,,3.97,,7.80
"",(V15) (589GR) Junction City,496,495,99.80%,1,0.20%,,495,0,1,0,0,0,,0.14,,0.00
"",(V15) (589GT) Seneca,14,14,100.00%,0,0.00%,,14,0,0,0,0,0,,0.00,,
"",(V15) (589GU) Lawrence,275,275,100.00%,0,0.00%,,274,1,0,0,0,0,,0.62,0.00,0.09
"",(V15) (589GV) Ft. Scott (Bourbon Co.),189,188,99.47%,1,0.53%,,182,6,1,0,0,0,,1.30,,5.46
"",(V15) (589MA) Ft. Riley DES Clinic,117,117,100.00%,0,0.00%,,117,0,0,0,0,0,,,,
"",(V15) (589MD) IDES Fort Leavenworth,32,32,100.00%,0,0.00%,,32,0,0,0,0,0,,,,
"(V15) (","89) Wichita, KS","19,135","18,850",98.51%,285,1.49%,,"18,361",489,224,50,10,1,,2.07,4.01,1.77
"",(V15) (589A7) Robert J. Dole VAM&ROC (Wichita),"16,259","15,990",98.35%,269,1.65%,,"15,570",420,210,48,10,1,,1.62,4.20,2.17
"",(V15) (589G2) Dodge City,318,318,100.00%,0,0.00%,,317,1,0,0,0,0,,0.88,0.00,0.26
"",(V15) (589G3) Liberal,73,73,100.00%,0,0.00%,,73,0,0,0,0,0,,0.54,0.00,0.00
"",(V15) (589G4) Hays,664,661,99.55%,3,0.45%,,650,11,2,1,0,0,,3.35,0.38,0.04
"",(V15) (589G5) Parsons,474,474,100.00%,0,0.00%,,473,1,0,0,0,0,,0.78,0.00,0.06
"",(V15) (589G7) Hutchinson,511,509,99.61%,2,0.39%,,500,9,1,1,0,0,,1.50,0.07,0.44
"",(V15) (589GW) Salina,816,805,98.65%,11,1.35%,,758,47,11,0,0,0,,5.19,0.06,0.94
"",(V15) (589MB) IDES McConnel AFB,20,20,100.00%,0,0.00%,,20,0,0,0,0,0,,,,
"(V15) (657) Marion, IL","24,741","24,093",97.38%,648,2.62%,,"22,980","1,113",401,242,4,1,,2.43,5.22,3.47,
"",(V15) (657A5) Marion IL,"11,634","11,248",96.68%,386,3.32%,,"10,811",437,209,177,0,0,,1.03,5.84,3.05
"",(V15) (657GJ) Evansville,"6,995","6,858",98.04%,137,1.96%,,"6,468",390,104,30,2,1,,1.99,4.14,3.10
"",(V15) (657GK) Mt. Vernon,664,607,91.42%,57,8.58%,,542,65,30,25,2,0,,7.09,17.43,10.48
"",(V15) (657GL) Paducah,"1,394","1,351",96.92%,43,3.08%,,"1,236",115,33,10,0,0,,4.15,4.69,6.50
"",(V15) (657GM) Effingham,817,813,99.51%,4,0.49%,,802,11,4,0,0,0,,1.55,1.26,1.55
"","(V15) (657GO) Hanson (Hopkins County), KY",222,222,100.00%,0,0.00%,,207,15,0,0,0,0,,2.96,2.00,
"",(V15) (657GP) Owensboro,"1,030","1,028",99.81%,2,0.19%,,"1,016",12,2,0,0,0,,2.26,2.11,0.70
"",(V15) (657GQ) Vincennes,428,427,99.77%,1,0.23%,,426,1,1,0,0,0,,1.26,,1.14
"","(V15) (657GR) Mayfield, KY CBOC",739,732,99.05%,7,0.95%,,702,30,7,0,0,0,,2.24,4.48,3.14
"",(V15) (657GT) Carbondale,559,558,99.82%,1,0.18%,,553,5,1,0,0,0,,0.79,0.74,3.45
"",(V15) (657GU) Harrisburg,259,249,96.14%,10,3.86%,,217,32,10,0,0,0,,6.84,7.50,0.00
"(V15) (657) Poplar Bluff, MO","13,346","12,985",97.30%,361,2.70%,,"12,563",422,317,42,2,0,,2.00,6.58,1.81,
"",(V15) (657A4) Poplar Bluff,"8,500","8,187",96.32%,313,3.68%,,"7,863",324,276,35,2,0,,3.85,6.84,1.49
"",(V15) (657GF) West Plains,"1,089","1,067",97.98%,22,2.02%,,"1,043",24,17,5,0,0,,2.47,4.75,0.85
"",(V15) (657GG) Paragould,759,740,97.50%,19,2.50%,,718,22,18,1,0,0,,1.06,0.00,5.66
"",(V15) (657GH) Cape Girardeau,"1,400","1,397",99.79%,3,0.21%,,"1,381",16,3,0,0,0,,0.35,1.50,0.98
"",(V15) (657GI) Farmington,892,889,99.66%,3,0.34%,,877,12,3,0,0,0,,0.41,5.78,1.63
"","(V15) (657GN) Salem, MO CBOC",23,23,100.00%,0,0.00%,,23,0,0,0,0,0,,0.09,,
"",(V15) (657GV) Sikeston,683,682,99.85%,1,0.15%,,658,24,0,1,0,0,,0.50,2.32,3.78
"(V15) (657) St. Louis, MO","41,239","40,594",98.44%,645,1.56%,,"39,151","1,443",415,119,77,34,,1.31,4.16,3.43,
"",(V15) (657) St Louis-John Cochran,"25,756","25,392",98.59%,364,1.41%,,"24,525",867,283,48,26,7,,1.08,3.47,2.70
"(V15) (657A0) St Louis-Jeff Bks.","12,524","12,245",97.77%,279,2.23%,,"11,709",536,130,71,51,27,,1.73,7.39,3.86,
"(V15) (657GA) Belleville",699,697,99.71%,2,0.29%,,685,12,2,0,0,0,,0.83,1.64,1.63,
"(V15) (657GB) St. Louis CBOC",849,849,100.00%,0,0.00%,,829,20,0,0,0,0,,1.98,0.36,1.33,
"(V15) (657GD) St. Charles County",978,978,100.00%,0,0.00%,,973,5,0,0,0,0,,0.65,0.12,1.80,
"(V15) (657GS) Washington",426,426,100.00%,0,0.00%,,424,2,0,0,0,0,,2.03,0.00,0.34,
"(V15) (657MA) IDES Scott AFB",7,7,100.00%,0,0.00%,,6,1,0,0,0,0,,,,,
"(V16) (502) Alexandria, LA","21,739","21,208",97.56%,531,2.44%,,"20,525",683,431,76,17,7,,2.15,4.77,2.09,
"(V16) (502) Alexandria","16,286","15,834",97.22%,452,2.78%,,"15,297",537,363,66,16,7,,3.00,4.94,1.05,
"",(V16) (502GA) Jennings,"1,570","1,562",99.49%,8,0.51%,,"1,504",58,7,1,0,0,,2.63,0.67,2.32
"",(V16) (502GB) Lafayette Parish,"2,554","2,493",97.61%,61,2.39%,,"2,449",44,52,9,0,0,,0.28,3.47,4.02
"",(V16) (502GF) Fort Polk,788,779,98.86%,9,1.14%,,742,37,9,0,0,0,,1.76,0.00,3.58
"",(V16) (502GG) Natchitoches,527,526,99.81%,1,0.19%,,520,6,0,0,1,0,,2.76,0.01,1.71
"",(V16) (502MA) IDES Fort Polk,14,14,100.00%,0,0.00%,,13,1,0,0,0,0,,,,
"(V16) (520) Gulf Coast HCS, MS","49,730","47,239",94.99%,"2,491",5.01%,,"44,562","2,677","1,992",375,119,5,,8.20,6.35,4.37,
"",(V16) (520) Biloxi,"22,641","22,017",97.24%,624,2.76%,,"20,894","1,123",542,59,21,2,,8.58,5.06,2.05
"",(V16) (520BZ) Pensacola,"15,702","14,309",91.13%,"1,393",8.87%,,"13,128","1,181","1,010",286,96,1,,10.43,8.56,9.10
"",(V16) (520GA) Mobile,"5,822","5,647",96.99%,175,3.01%,,"5,456",191,157,16,2,0,,3.72,5.49,1.93
"",(V16) (520GB) Panama City,"2,738","2,456",89.70%,282,10.30%,,"2,351",105,266,14,0,2,,15.52,2.40,2.85
"",(V16) (520GC) Eglin AFB,"2,827","2,810",99.40%,17,0.60%,,"2,733",77,17,0,0,0,,2.92,1.75,0.91
"(V16) (564) Fayetteville, AR","32,228","31,239",96.93%,989,3.07%,,"29,694","1,545",755,206,21,7,,2.26,5.25,3.63,
"",(V16) (564) Fayetteville AR,"18,360","17,639",96.07%,721,3.93%,,"16,560","1,079",530,177,14,0,,1.82,6.44,4.55
"",(V16) (564BY) Gene Taylor,"6,631","6,482",97.75%,149,2.25%,,"6,289",193,128,21,0,0,,2.32,3.78,0.61
"",(V16) (564GA) Harrison,373,371,99.46%,2,0.54%,,349,22,2,0,0,0,,4.04,0.00,0.79
"",(V16) (564GB) Ft. Smith,"3,046","2,972",97.57%,74,2.43%,,"2,828",144,53,7,7,7,,2.35,5.05,6.99
"",(V16) (564GC) Branson,"2,938","2,903",98.81%,35,1.19%,,"2,820",83,34,1,0,0,,3.33,0.59,2.01
"",(V16) (564GD) Ozark,390,384,98.46%,6,1.54%,,369,15,6,0,0,0,,1.06,0.71,5.58
"",(V16) (564GE) Jay,490,488,99.59%,2,0.41%,,479,9,2,0,0,0,,1.13,0.06,3.53
"(V16) (","80) Houston, TX","75,486","73,470",97.33%,"2,016",2.67%,,"71,197","2,273","1,597",384,26,9,,4.02,2.81,1.93
"",(V16) (580) Houston,"52,835","51,368",97.22%,"1,467",2.78%,,"49,971","1,397","1,155",286,18,8,,6.41,2.34,1.27
"",(V16) (580BY) Beaumont,"4,659","4,592",98.56%,67,1.44%,,"4,498",94,53,9,5,0,,1.56,3.95,1.55
"",(V16) (580BZ) Charles Wilson VA OPC,"2,544","2,498",98.19%,46,1.81%,,"2,396",102,44,2,0,0,,1.69,6.24,3.83
"",(V16) (580GC) Galveston County,"3,645","3,591",98.52%,54,1.48%,,"3,485",106,51,3,0,0,,1.32,4.03,1.62
"",(V16) (580GD) Conroe CBOC TX,"2,887","2,824",97.82%,63,2.18%,,"2,700",124,56,5,1,1,,3.35,2.91,2.83
"",(V16) (580GE) Katy,"3,223","3,149",97.70%,74,2.30%,,"2,986",163,48,25,1,0,,3.32,3.90,3.76
"",(V16) (580GF) Lake Jackson,"1,254","1,227",97.85%,27,2.15%,,"1,128",99,27,0,0,0,,5.56,0.00,4.28
"",(V16) (580GG) Richmond,"1,687","1,637",97.04%,50,2.96%,,"1,562",75,50,0,0,0,,1.72,8.32,4.20
"",(V16) (580GH) Tomball,"2,752","2,584",93.90%,168,6.10%,,"2,471",113,113,54,1,0,,2.56,11.68,1.11
"(V16) (586) Jackson, MS","30,605","30,120",98.42%,485,1.58%,,"29,220",900,423,43,9,10,,2.68,3.08,0.94,
"",(V16) (586) G. V. (Sonny) Montgomery VAMC,"26,075","25,610",98.22%,465,1.78%,,"24,828",782,404,43,8,10,,3.05,3.09,1.13
"",(V16) (586GA) Durant (Kosciusko),84,84,100.00%,0,0.00%,,84,0,0,0,0,0,,0.02,0.00,0.00
"",(V16) (586GB) Meridian,979,972,99.28%,7,0.72%,,963,9,7,0,0,0,,0.87,,0.00
"",(V16) (586GC) Greenville,451,450,99.78%,1,0.22%,,425,25,1,0,0,0,,5.02,0.00,0.46
"",(V16) (586GD) Hattiesburg,"1,308","1,300",99.39%,8,0.61%,,"1,266",34,7,0,1,0,,2.13,0.00,0.02
"",(V16) (586GE) Natchez (Adams County),551,551,100.00%,0,0.00%,,545,6,0,0,0,0,,1.64,,0.00
"",(V16) (586GF) Columbus,575,574,99.83%,1,0.17%,,560,14,1,0,0,0,,1.82,0.00,0.31
"",(V16) (586GG) McComb,582,579,99.48%,3,0.52%,,549,30,3,0,0,0,,3.24,,0.95
"(V16) (598) Little Rock, AR","44,841","43,861",97.81%,980,2.19%,,"42,506","1,355",784,133,39,24,,4.55,2.53,4.40,
"",(V16) (598) Central AR. Veterans HCS LR,"17,414","17,145",98.46%,269,1.54%,,"16,730",415,185,39,23,22,,0.33,2.77,0.04
"(V16) (598A0) Central AR. Veterans HCS NLR","19,944","19,301",96.78%,643,3.22%,,"18,586",715,538,87,16,2,,7.14,2.15,4.84,
"(V16) (598GA) Mountain Home",863,859,99.54%,4,0.46%,,849,10,4,0,0,0,,1.30,3.07,6.54,
"(V16) (598GB) Eldorado",398,390,97.99%,8,2.01%,,376,14,8,0,0,0,,3.02,0.00,2.67,
"(V16) (598GC) Hot Springs","1,474","1,472",99.86%,2,0.14%,,"1,454",18,2,0,0,0,,1.59,0.00,0.55,
"(V16) (598GD) Mena",747,737,98.66%,10,1.34%,,725,12,9,1,0,0,,2.27,0.00,6.35,
"(V16) (598GE) Pine Bluff CBOC",893,875,97.98%,18,2.02%,,834,41,17,1,0,0,,3.60,0.00,5.66,
"(V16) (598GF) Searcy",925,908,98.16%,17,1.84%,,885,23,13,4,0,0,,3.93,0.00,1.20,
"(V16) (598GG) Conway","1,665","1,659",99.64%,6,0.36%,,"1,564",95,5,1,0,0,,3.71,2.77,5.84,
"(V16) (598GH) Russellville",518,515,99.42%,3,0.58%,,503,12,3,0,0,0,,0.69,0.00,3.37,
"(V16) (623) Muskogee, OK","24,501","24,024",98.05%,477,1.95%,,"23,024","1,000",434,43,0,0,,2.62,3.22,2.95,
"",(V16) (623) Muskogee,"12,444","12,335",99.12%,109,0.88%,,"11,979",356,97,12,0,0,,0.90,2.42,1.46
"",(V16) (623BY) Tulsa,"10,471","10,137",96.81%,334,3.19%,,"9,533",604,311,23,0,0,,3.65,4.31,4.10
"",(V16) (623GA) Hartshorne,730,728,99.73%,2,0.27%,,720,8,2,0,0,0,,0.59,0.34,2.52
"",(V16) (623GB) Vinita,856,824,96.26%,32,3.74%,,792,32,24,8,0,0,,5.70,0.94,4.31
"(V16) (629) New Orleans, LA","35,431","33,829",95.48%,"1,602",4.52%,,"31,543","2,286","1,128",464,10,0,,7.01,7.34,4.11,
"",(V16) (629) New Orleans,"22,323","21,064",94.36%,"1,259",5.64%,,"19,360","1,704",834,419,6,0,,12.95,8.40,4.75
"",(V16) (629BY) Baton Rouge,"6,677","6,390",95.70%,287,4.30%,,"5,988",402,241,43,3,0,,7.15,3.87,4.46
"",(V16) (629GA) Houma,"1,741","1,740",99.94%,1,0.06%,,"1,716",24,0,0,1,0,,2.23,0.42,1.13
"",(V16) (629GB) Hammond CBOC LA,"1,569","1,547",98.60%,22,1.40%,,"1,474",73,21,1,0,0,,1.11,2.15,4.93
"",(V16) (629GC) Slidell CBOC LA,"1,396","1,382",99.00%,14,1.00%,,"1,345",37,13,1,0,0,,1.71,3.44,0.75
"",(V16) (629GD) St. John CBOC LA,861,859,99.77%,2,0.23%,,837,22,2,0,0,0,,2.00,2.34,2.20
"",(V16) (629GE) Franklin,363,361,99.45%,2,0.55%,,341,20,2,0,0,0,,3.42,0.00,5.56
"",(V16) (629GF) Bogalusa,501,486,97.01%,15,2.99%,,482,4,15,0,0,0,,1.65,0.00,4.55
"(V16) (635) Oklahoma City, OK","39,768","38,979",98.02%,789,1.98%,,"37,695","1,284",621,157,4,7,,2.65,4.57,1.05,
"",(V16) (635) Oklahoma City,"33,799","33,051",97.79%,748,2.21%,,"31,885","1,166",594,144,3,7,,2.48,4.74,0.74
"",(V16) (635GA) Lawton,"3,201","3,168",98.97%,33,1.03%,,"3,137",31,19,13,1,0,,3.21,0.11,0.53
"",(V16) (635GB) Wichita Falls,"1,028","1,024",99.61%,4,0.39%,,971,53,4,0,0,0,,3.67,,3.74
"",(V16) (635GC) Blackwell,174,174,100.00%,0,0.00%,,171,3,0,0,0,0,,0.72,,1.90
"",(V16) (635GD) Ada,381,381,100.00%,0,0.00%,,363,18,0,0,0,0,,2.91,,3.80
"",(V16) (635GE) Stillwater,463,463,100.00%,0,0.00%,,460,3,0,0,0,0,,1.64,0.00,0.84
"",(V16) (635GF) Altus,194,191,98.45%,3,1.55%,,188,3,3,0,0,0,,1.96,,1.02
"",(V16) (635GG) Enid,152,151,99.34%,1,0.66%,,151,0,1,0,0,0,,0.34,,0.71
"",(V16) (635HB) Ardmore,376,376,100.00%,0,0.00%,,369,7,0,0,0,0,,3.10,0.00,4.18
"(V16) (667) Shreveport, LA","25,728","25,274",98.24%,454,1.76%,,"24,757",517,374,61,7,12,,4.66,1.78,2.61,
"",(V16) (667) Overton Brooks VAMC,"20,208","19,809",98.03%,399,1.97%,,"19,444",365,335,55,5,4,,6.52,1.88,2.00
"",(V16) (667GA) Texarkana,"1,737","1,724",99.25%,13,0.75%,,"1,672",52,8,3,2,0,,1.98,1.17,4.57
"",(V16) (667GB) Monroe,"1,621","1,602",98.83%,19,1.17%,,"1,574",28,18,1,0,0,,0.57,0.21,4.35
"",(V16) (667GC) Longview,"2,143","2,120",98.93%,23,1.07%,,"2,048",72,13,2,0,8,,5.45,1.28,2.98
"",(V16) (667MA) IDES Barksdale AFB,19,19,100.00%,0,0.00%,,19,0,0,0,0,0,,,,
"(V17) (549) Dallas, TX","80,600","78,989",98.00%,"1,611",2.00%,,"76,592","2,397","1,261",296,37,17,,3.37,3.17,2.44,
"",(V17) (549) Dallas VAMC,"54,702","53,599",97.98%,"1,103",2.02%,,"52,066","1,533",863,205,25,10,,3.91,3.26,0.94
"(V17) (549A4) Bonham VAMC","6,512","6,379",97.96%,133,2.04%,,"6,203",176,129,3,1,0,,2.51,2.62,1.55,
"(V17) (549BY) Fort Worth Satellite","14,568","14,294",98.12%,274,1.88%,,"13,879",415,176,80,11,7,,2.41,2.99,4.47,
"(V17) (549GA) Camp-Fannin","1,423","1,417",99.58%,6,0.42%,,"1,353",64,6,0,0,0,,2.82,0.58,4.14,
"(V17) (549GD) Denton Area Primary Care Network","1,495","1,432",95.79%,63,4.21%,,"1,315",117,56,7,0,0,,5.09,0.70,7.31,
"(V17) (549GE) Decatur Area Primary Care Network",320,320,100.00%,0,0.00%,,303,17,0,0,0,0,,3.06,,8.67,
"(V17) (549GF) Eastland Area Primary Care Network",309,303,98.06%,6,1.94%,,292,11,5,1,0,0,,2.05,,,
"(V17) (549GH) Greenville Area PCN",420,420,100.00%,0,0.00%,,394,26,0,0,0,0,,5.31,0.00,4.09,
"(V17) (549GJ) Sherman",851,825,96.94%,26,3.06%,,787,38,26,0,0,0,,4.79,0.00,1.98,
"(V17) (671) San Antonio, TX","58,542","56,747",96.93%,"1,795",3.07%,,"54,356","2,391","1,387",388,20,0,,4.15,3.48,5.79,
"(V17) (671) San Antonio VAMC","39,571","38,269",96.71%,"1,302",3.29%,,"36,803","1,466",967,319,16,0,,5.51,3.72,6.45,
"(V17) (671A4) Kerrville VAMC","3,637","3,583",98.52%,54,1.48%,,"3,466",117,53,1,0,0,,3.11,1.63,2.58,
"(V17) (671BU) San Antonio Domiciliary",872,872,100.00%,0,0.00%,,871,1,0,0,0,0,,,,,
"(V17) (671BY) Frank M. Tejeda Satellite","8,528","8,286",97.16%,242,2.84%,,"7,912",374,197,42,3,0,,2.47,0.84,6.42,
"(V17) (671GB) Victoria","1,238","1,181",95.40%,57,4.60%,,"1,111",70,47,10,0,0,,5.12,5.41,1.56,
"(V17) (671GC) Del Rio",44,44,100.00%,0,0.00%,,44,0,0,0,0,0,,0.00,,,
"(V17) (671GF) South Bexar Cnty","1,436","1,389",96.73%,47,3.27%,,"1,319",70,33,13,1,0,,2.98,13.00,10.00,
"(V17) (671GH) Beeville",128,128,100.00%,0,0.00%,,128,0,0,0,0,0,,0.00,,,
"(V17) (671GK) San Antonio Area PCN",684,684,100.00%,0,0.00%,,663,21,0,0,0,0,,2.05,,,
"(V17) (671GL) New Braunfels (Comal County)",144,144,100.00%,0,0.00%,,144,0,0,0,0,0,,0.01,,,
"",(V17) (671GN) Seguin (Guadalupe County),4,4,100.00%,0,0.00%,,4,0,0,0,0,0,,0.00,,
"","(V17) (671GO) San Antonio, TX","2,256","2,163",95.88%,93,4.12%,,"1,891",272,90,3,0,0,,6.74,3.05,6.90
"(V17) (","74) Temple, TX","68,642","65,726",95.75%,"2,916",4.25%,,"61,610","4,116","2,352",512,42,10,,6.77,5.30,5.67
"",(V17) (674) Temple VAMC,"37,780","36,621",96.93%,"1,159",3.07%,,"34,642","1,979",912,221,19,7,,4.92,4.08,8.98
"",(V17) (674A4) Waco VAMC,"8,508","8,146",95.75%,362,4.25%,,"7,690",456,288,74,0,0,,4.83,7.17,2.83
"",(V17) (674BY) Austin Satellite,"16,504","15,196",92.07%,"1,308",7.93%,,"13,911","1,285","1,069",215,23,1,,12.50,7.84,4.50
"",(V17) (674GA) Palestine,982,980,99.80%,2,0.20%,,944,36,2,0,0,0,,3.14,0.61,2.99
"",(V17) (674GB) Brownwood,"1,246","1,237",99.28%,9,0.72%,,"1,214",23,8,1,0,0,,1.48,5.86,1.38
"",(V17) (674GC) College Station (Bryan),"1,882","1,828",97.13%,54,2.87%,,"1,683",145,52,1,0,1,,5.65,2.14,3.38
"",(V17) (674GD) Cedar Park,"1,546","1,525",98.64%,21,1.36%,,"1,352",173,20,0,0,1,,5.12,3.11,4.00
"",(V17) (674HB) La Grange,194,193,99.48%,1,0.52%,,174,19,1,0,0,0,,5.73,0.00,0.14
"(V17) (740) VA Texas Valley Coastal Bend HCS","18,101","17,173",94.87%,928,5.13%,,"16,296",877,504,306,112,6,,5.79,5.21,5.62,
"",(V17) (740) VA Texas Valley Coastal Bend HCC,"2,807","2,576",91.77%,231,8.23%,,"2,356",220,159,69,3,0,,0.15,8.74,0.50
"",(V17) (740GA) Harlingen,"4,200","3,854",91.76%,346,8.24%,,"3,665",189,154,127,62,3,,8.46,1.79,13.47
"",(V17) (740GB) McAllen,"4,540","4,349",95.79%,191,4.21%,,"4,140",209,80,62,46,3,,6.06,0.08,3.38
"",(V17) (740GC) Corpus Christi,"4,914","4,768",97.03%,146,2.97%,,"4,554",214,97,48,1,0,,4.18,0.67,4.91
"",(V17) (740GD) Laredo,"1,640","1,626",99.15%,14,0.85%,,"1,581",45,14,0,0,0,,1.95,2.88,2.15
"(V18) (501) New Mexico HCS","37,335","35,255",94.43%,"2,080",5.57%,,"32,985","2,270","1,280",636,148,16,,7.35,7.06,6.04,
"",(V18) (501) Albuquerque,"29,242","27,552",94.22%,"1,690",5.78%,,"25,630","1,922",963,576,135,16,,10.80,6.96,5.75
"",(V18) (501G2) Las Vegas,787,778,98.86%,9,1.14%,,744,34,9,0,0,0,,1.83,0.00,7.72
"",(V18) (501GA) Artesia,659,653,99.09%,6,0.91%,,642,11,4,2,0,0,,0.43,0.00,7.02
"",(V18) (501GB) Farmington,"1,026",877,85.48%,149,14.52%,,804,73,143,5,1,0,,10.51,0.00,9.75
"",(V18) (501GC) Silver City,690,667,96.67%,23,3.33%,,651,16,23,0,0,0,,1.60,0.00,11.66
"",(V18) (501GD) Gallup NM,550,543,98.73%,7,1.27%,,532,11,6,0,1,0,,0.57,0.00,4.16
"",(V18) (501GE) Espanola,326,321,98.47%,5,1.53%,,312,9,4,1,0,0,,0.89,0.00,7.38
"",(V18) (501GH) Truth or Consequences,317,317,100.00%,0,0.00%,,316,1,0,0,0,0,,0.47,,0.88
"",(V18) (501GI) Alamogordo,518,509,98.26%,9,1.74%,,497,12,5,3,1,0,,2.75,0.00,8.82
"",(V18) (501GJ) Durango,642,637,99.22%,5,0.78%,,636,1,4,1,0,0,,0.09,0.00,1.70
"",(V18) (501GK) Santa Fe,560,508,90.71%,52,9.29%,,453,55,34,17,1,0,,10.91,1.42,4.08
"",(V18) (501GM) Rio Rancho,"1,503","1,379",91.75%,124,8.25%,,"1,263",116,84,31,9,0,,7.07,12.91,8.39
"",(V18) (501HB) Raton,504,503,99.80%,1,0.20%,,494,9,1,0,0,0,,1.00,0.00,4.79
"",(V18) (501MA) IDES Kirtland AFB,11,11,100.00%,0,0.00%,,11,0,0,0,0,0,,,,
"(V18) (504) Amarillo, TX","16,734","16,632",99.39%,102,0.61%,,"16,419",213,86,11,4,1,,1.00,1.83,0.49,
"",(V18) (504) Amarillo HCS,"10,709","10,656",99.51%,53,0.49%,,"10,533",123,47,5,0,1,,0.79,1.67,0.31
"",(V18) (504BY) Lubbock TX,"5,263","5,215",99.09%,48,0.91%,,"5,138",77,38,6,4,0,,1.13,2.28,0.47
"",(V18) (504BZ) Clovis,632,631,99.84%,1,0.16%,,625,6,1,0,0,0,,0.92,3.67,1.42
"",(V18) (504GA) Childress,98,98,100.00%,0,0.00%,,98,0,0,0,0,0,,0.00,0.00,0.93
"",(V18) (504HB) Dalhart,32,32,100.00%,0,0.00%,,25,7,0,0,0,0,,9.04,0.00,
"(V18) (519) Big Spring, TX","8,981","8,841",98.44%,140,1.56%,,"8,399",442,77,37,22,4,,2.53,6.09,5.41,
"",(V18) (519) West Texas HCS,"4,131","4,064",98.38%,67,1.62%,,"3,863",201,25,20,19,3,,2.73,6.35,4.06
"(V18) (519GA) Permian Basin CBOC","1,122","1,107",98.66%,15,1.34%,,"1,016",91,15,0,0,0,,1.60,9.37,10.53,
"(V18) (519GB) Hobbs",463,453,97.84%,10,2.16%,,446,7,3,5,1,1,,1.64,0.00,15.60,
"(V18) (519GD) Ft Stockton",70,68,97.14%,2,2.86%,,60,8,0,1,1,0,,7.50,,,
"(V18) (519HC) Abilene TX","2,056","2,032",98.83%,24,1.17%,,"1,970",62,14,9,1,0,,1.95,4.06,1.61,
"(V18) (519HF) San Angelo","1,139","1,117",98.07%,22,1.93%,,"1,044",73,20,2,0,0,,3.70,6.50,6.22,
